MATERIAL_ID,0,1,2,3,4,5
4,TRIM SET INCLUDES THE FOLLOWING,,,,,
5,HEADPART,INSERT 1,INSERT 2,,,
7,BACKPART ,SHOULDER PADS,CROTCH PAD,,,
9,SEAT COVER,MESSY MAT,OTHER,,,
13,PRIMARY FABRIC  (1),Main Fabric from Solis,,1.3,2.7,3.5100000000000002
14,PRIMARY FABRIC  (2),,,,,
15,PRIMARY FABRIC  (3),,,,,
16,PRIMARY FABRIC  (4),,,,,
18,CF Zip,,,1,0.22,0.22
24,Spring Toggles ribbon,,,0.14,0.078,0.010920000000000001
25,Elastic,,,0.014,0.028,0.00039200000000000004
26,Draw Cord,,,0.9,0.055,0.0495
28,Button,,,1,0.08,0.08
29,Thread,,,,,0.03
33,WELDING,,,,,
34,BUTTON STITCH,,,,,
36,SEWING ,,,,,
37,OVER LOCKING / PIPING,,,,,
41,PACKAGING,,,,,
