MATERIAL_ID,0,1,2,3,4,5
4,TRIM SET INCLUDES THE FOLLOWING,,,,,
5,HEADPART,INSERT 1,INSERT 2,,,
7,BACKPART ,SHOULDER PADS,CROTCH PAD,,,
9,SEAT COVER,MESSY MAT,OTHER,,,
13,PRIMARY FABRIC  (1),Main Fabric from Solis,,1.24,2.7,3.3480000000000003
14,PRIMARY FABRIC  (2),,,,,
15,PRIMARY FABRIC  (3),,,,,
16,PRIMARY FABRIC  (4),,,,,
18,CF Zip,,,1,0.26,0.26
21,Elastic,,,0.92,0.035,0.032200000000000006
23,Snap,,,2,0.067,0.134
24,Thread,,,,,0.03
25,Heat transfer,,,0.098,1,0.098
29,WELDING,,,,,
30,BUTTON STITCH,,,,,
32,SEWING ,,,,,
33,OVER LOCKING / PIPING,,,,,
37,PACKAGING,,,,,
