index,style,description ,location,spec,spec-2,Fabric,Trims,Color way-1,Color way-2,Color way-3,Color way-4,
0,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY","Hood, Upper Body, Under Storm Flap",,,1,0,BLACK,,,,
1,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY",Lower Body,,,1,0,BLACK,,,,
2,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY",Sleeves,,,1,0,BLACK,,,,
3,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY","Hood, Upper Body, Under Storm Flap",,,1,0,CAMEL,,,,
4,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY",Lower Body,,,1,0,CAMEL,,,,
5,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY",Sleeves,,,1,0,CAMEL,,,,
6,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY","Hood, Upper Body, Under Storm Flap",,,1,0,SAGE,,,,
7,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY",Lower Body,,,1,0,SAGE,,,,
8,18M20-01 Monthaven Jacket,"TOP11008-3.5L
STRETCH POLY",Sleeves,,,1,0,SAGE,,,,
9,18M20-01 Monthaven Jacket,TAUPE / PAVEMENT / STONE,"Hood, Upper Body, Under Storm Flap",,,1,0,TAUPE,,,,
10,18M20-01 Monthaven Jacket,TAUPE / PAVEMENT / STONE,Lower Body,,,1,0,STONE,,,,
11,18M20-01 Monthaven Jacket,TAUPE / PAVEMENT / STONE,Sleeves,,,1,0,PAVEMENT,,,,
12,18M20-01 Monthaven Jacket,210T Nylon Coated Plain Taffeta,Powder skirt,,,1,0,BURGUNDY,BURGUNDY,BURGUNDY,BURGUNDY,
13,18M20-01 Monthaven Jacket,210T Nylon UN-Coated Plain Taffeta,Media pocket,,,1,0,BURGUNDY,BURGUNDY,BURGUNDY,BURGUNDY,
14,18M20-01 Monthaven Jacket,#C-062 TRICOT,"Inner collar, Chin guard",,,1,0,BURGUNDY,BURGUNDY,BURGUNDY,BURGUNDY,
15,18M20-01 Monthaven Jacket,#A-012 Mesh,"Goggle pocket, Pit vents, Media pocket, Beverage holder",,,1,0,BLACK,BLACK,BLACK,BLACK,
16,18M20-01 Monthaven Jacket,#JIK-1186  Lycra,"Inner hand gaiters, Zip-to-pant section",,,1,0,BURGUNDY,BURGUNDY,BURGUNDY,BURGUNDY,
17,18M20-01 Monthaven Jacket,Union Line # UL-20320; tricot/tricot with clear lamination ,Pocket bags,,,1,0,GREY,GREY,GREY,GREY,
18,18M20-01 Monthaven Jacket,Pelon,"Collar, Cuffs, Windbreak",,,1,0,WHITE,WHITE,WHITE,WHITE,
19,18M20-01 Monthaven Jacket,37.5 SEAM TAPE 3.5L 2CM WIDE,Fully seam sealed,,,1,0,37.5 PRINT SEAMTAPE,37.5 PRINT SEAMTAPE,37.5 PRINT SEAMTAPE,37.5 PRINT SEAMTAPE,
