,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab17mj1_050b,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none
2,none,none,none,none,none,season: winter 2016/17,none,none,none
3,none,none,insulation:,80gm insulation,none,collection: s.layer,none,none,none
4,style name:,none,seams:,critically taped,none,vendor: soluna,none,none,none
5,puffin pullover,none,mm rating:,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated: 9.10.15,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,black,black spruce,stone critterflage,gold
10,none,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sotd013-r01 100% polyester nantotex dwr coating,"main body storm flap, hood",none,black,black spruce,n/a,gold
12,b,shell fabric,sotd013-pr03 100% polyester nantotex dwr coating,"main body storm flap, hood",none,n/a,n/a,stone critterflage,n/a
13,c,lining,emb07 taffeta emboss (supplied by li peng),"inside lining, pocket bag",none,black,old gold,black,black
14,d,pellon,lightweight interfacing (item# tbd),inner storm flap,none,white,white,white,white
15,e,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white
16,k,none,none,none,none,none,none,none,none
17,l,none,none,none,zippers,none,none,none,none
18,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (close ended)",c.f.,1,black,black spruce 120,brown 394,gold 508
19,bb,zipper,ykk  no.5 nylon coil zippers.  auto-lock slider da8lh1 (zippers close down),(2) pocket,2,black,black spruce 120,brown 394,gold 508
20,cc,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),"(2) pockets, (1) c.f. ",3,black,old gold,black,black
22,none,none,none,none,trims,none,none,none,none
23,dd,stoppers,k343-2n push stoppers,"(1) bottom hem, (2) hood",3,black,black,black,black
24,ee,hand pulls,plastic hand pulls zp11 , (1) bottom hem,1,black,black,black,black
25,ff,webbing,flat webbing tape 8mm width," (1)stopper attachments loops at bottom hem, (2) stoper attachemnt at hood, (1) side seam for drawcord loops",4,black,black,black,black
26,gg,hardware,"metal eyelets, 12mm (incl. washers)","(4) at hood opening,  (2) inside bottom hem",6,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass
27,hh,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(4) storm flap,4,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass
28,ii,elastic drawcord, 2.5 mm elastic cord,"bottom hem adjustment, hood",2,black,black,black,black
29,jj,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black
30,kk,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black
31,ll,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream
32,mm,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
33,nn,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream
34,pp,branding,abem_402 patagoinia font embroidery,"left chest, see placement page for detail",1,dk grey 70021,gold m564,olive 70015,black
35,qq,woven label,nanotex woven label,sewn in and centered underneath size label label,1,brown,brown,brown,brown
37,none,none,none,none,hangtags/packaging,none,none,none,none
38,rr,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
39,ss,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
40,tt,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear
41,uu,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd
42,vv,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd
44,special instructions:,none,none,none,none,none,none,none,none
45,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
46,2,stitches per inch:,8-10,none,none,none,none,none,none
47,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
48,4,bartack:,at stress points,none,none,none,none,none,none
49,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
50,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
51,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
