,0,1,2,3,4,5,6,7,8,9
0,airblaster,none,none,none,none,style number: ab19mj2_105,none,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none,none,none
3,none,none,insulation:,none,none,collection: s.layer,none,none,none,none
4,style name:,none,seams:,none,none,vendor: soluna,none,none,none,none
5,prison coat,none,mm rating:,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none
8,none,updated: 5.17.17,none,none,none,color #1,color #2,color #3,color #4,color #5
9,none,material/trim,description,location,qty,black,camel,pineneedle,sterilng blue,rose smoke
10,none,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,sotp069-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,bronze brown,pineneedle,sterilng blue,rose smoke
12,b,lining, soto048-p velvety tricot -  smooth side used as face side (supplied by solis),"inside body lining, pocket bag",none,night jungle,night jungle,night jungle,night jungle,night jungle
13,b,lining,210t-e emb07 taffeta emboss 100% nylon (supplied by ecoya),sleeves,none,black,black,black,black,black
14,c,pellon,lightweight interfacing (item# tbd)  (supplied by you),"collar, placket, cuffs, welts",none,white,white,white,white,white
16,none,none,none,none,trims,none,none,none,none,none
17,aa,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)  (supplied by you)",(5)c.f.,5,bz black copper,bz black copper,bz black copper,sno antique silver,sno antique silver
18,bb,hardware,"metal eyelets, 12mm (incl. washers)  (supplied by you)", (2) inside bottom hem,2,bz black copper,bz black copper,bz black copper,sno antique silver,sno antique silver
19,cc,stopper,leather stopper abstpr_134 leather pig nose  stopper, (2) bottom hem drawcord,2,black,black,black,black,black
20,dd, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm  (supplied by you),bottom hem,1,black,black,black,black,black
21,ee,elastic , 2.5 cm flat elastic  (supplied by you),(2) cuffs,2,black,black,black,black,black
22,ff,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam
23,gg,size label,abwv_207 made in vietnam woven label,sewn in and centered below main label,1,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray
24,hh,w/c label,satin label with print  (supplied by you),"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
25,ii,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,black,black,black,black,black
26,jj,branding,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
28,none,none,none,none,hangtags/packaging,none,none,none,none,none
29,kk,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
30,ll,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
31,mm,polybag w/ warning matter,airpill logo print:  16 cm (supplied by you),centered on poly bag,1,clear,clear,clear,clear,clear
32,nn,country of origin sticker (supplied by your side),made in china sticker  (supplied by you),centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
33,oo,upc sticker (supplied by your side),sticker width 3.5 cm  (supplied by you),lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
35,special instructions:,none,none,none,none,none,none,none,none,none
36,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none,none
37,2,stitches per inch:,8-10,none,none,none,none,none,none,none
38,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none,none
39,4,bartack:,at stress points,none,none,none,none,none,none,none
40,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none,none
41,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none,none
42,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none,none
