,location,description,ref,content,colorway/4
1,a,oxford no washout 5k/5k coating + c6 dwr 80/10 $4.00,solis l2-584,100% poly,none
2,b,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,100% poly,none
3,insulation,description,ref number,content,colorways
4,hood & sleeves,insulation,"""cs"" type polyfill",100% poly,40g
5,body,insulation,"""cs"" type polyfill",100% poly,60g
6,seam tape,description,ref number,none,colorways
7,critically taped,bemis ,st-004,none,critically taped
8,lining,description,ref number,content,colorways
9,back,bone collector print,te er jia textile,100% poly,bone collector print
10,chin,bt-120 120g brushed tricot,fuk luen,100% poly,black
11,lower body & pow,coated 210t,te er jia textile,100% nylon,black
12,sleeve gaiter,lycra e3953b,ching hing textile,82% polyester 18% elastane,black
13,vents,regular mesh a-1014,fuk luen,100% poly,black
14,goggle pocket,regular mesh a-1014,fuk luen,100% poly,black
15,hood,solid 210t,te er jia textile,100% nylon,black
16,fronts,solid 210t,te er jia textile,100% nylon,black
17,sleeves,solid 210t,te er jia textile,100% nylon,black
18,hand pocket lining,solid 210t,te er jia textile,100% nylon,black
