,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
2, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hand pockets,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
3, #5 matt water resistant coil,non ykk / 1-way non locking / dadhr diecast wire,leg pockets horizontal,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black
4, #5 matt water resistant coil,non ykk / 1-way non locking / dadhr diecast wire,back left pocket,1,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black,silder/pull color: x6 black oxides zipper tape &teeth color: matte black
5, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,back right,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
6, #5 coil zipper,non ykk / 2-way non locking / dadhr diecast wire (zip down to close),balls out venting,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
7, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black
8,additional zipper pulls,supplier/ reference number,location,amount,black,dusty green,silt,walnut
9,"l1-2018-trim-018
non branded zipper pull. ","please source, same faux leather quality as other trims","hand pocket zippers (2), leg pocket zippers (2), back pocket zippers (2)",6,black faux leather,black faux leather,black faux leather,black faux leather
10, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell
11,branded trims,supplier/ reference number,location,amount,black,dusty green,silt,walnut
12,"l1-2018-trim-010
faux leather backed snap",luks,front waist band,2,sas54 pseudo anti silver / black faux leather,sas54 pseudo anti silver / black faux leather,sas54 pseudo anti silver / black faux leather,sas54 pseudo anti silver / black faux leather
13,"l1-2018-trim-012
heat transfer label  ",please source,back right pocket bag,1,black/gold,black/gold,black/gold,black/gold
14,"l1-2018-trim-015 
l1 injection mold logo",please source,front left hem,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric
15,trims,supplier/ reference number,location,amount,black,dusty green,silt,walnut
16,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
17,boot hook,xxx,front gaiter,1 per side = 2,al023 alloy (d),al023 alloy (d),al023 alloy (d),al023 alloy (d)
18,keyclip,as last year production,right leg pocket,1,black,black,black,black
19,notions,supplier/ reference number,location,amount,black,dusty green,silt,walnut
20,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell
21,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell
22,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black
23,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black
24,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black
25,bonding film,supplier/ reference number,location,amount,black,dusty green,silt,walnut
26,bonding film,none,fly opening,1,bonding film,bonding film,bonding film,bonding film
27,bonding film,none,hand pocket openings,1 per side = 2,bonding film,bonding film,bonding film,bonding film
28,bonding film,none,back right pocket welt,1 per side = 2,bonding film,bonding film,bonding film,bonding film
29,bonding film,none,zipper garages,1 per side = 2,bonding film,bonding film,bonding film,bonding film
30,velcro,supplier/ reference number,location,amount,black,dusty green,silt,walnut
31,"1"" x 1"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",waist band,1,match to shell,match to shell,match to shell,match to shell
32,thread,spi,supplier/ ref number,amount,black,dusty green,silt,walnut
33,seams,10-12 spi,Feb-30,regular thread,matching,matching,matching,matching
34,regular topstitch,8-10 spi,Feb-30,regular topstitch,matching,matching,matching,matching
35,bartacks,none,100/2,regular thread,matching,matching,matching,matching
36,labels ,supplier/ reference number,location,amount,black,dusty green,silt,walnut
37,20k/20k fully taped,soluna/ main label,inner front right,1,20k/20k fully taped,none,none,none
38,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none
39,hang tags,supplier/ reference number,location,amount,black,dusty green,silt,walnut
40,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none
41,pant regular fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant regular fit hang tag,none,none,none
42,care and content labels,supplier/ reference number,location,amount,black,dusty green,silt,walnut
43,address label,factory sourced,lining left side seam,1,none,none,none,none
44,content label,factory sourced,lining left side seam,1,none,none,none,none
45,washing label,factory sourced,lining left side seam,1,none,none,none,none
