,description,item,ref,content,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,all shell is same fabric,"new stretch twill 10k/10k laminate c6 dwr, $4.28",raco 950703-b,100% poly,black,none,none,none,none,none
2,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
3,shell,none,none,none,shell,none,none,none,none,none
4,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
5,fully taped,width...seam tape,sealon,none,fully taped,none,none,none,none,none
6,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
7,"main body, ""balls out"" crotch vents",a-101 regular mesh ,please sorce,100% poly,black,none,none,none,none,none
8,back pocket lining ,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
9,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
10,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
11,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
