,description,item,ref,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,fly ,#5 coil ,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
2,front pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
3,back pockets,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
4,"""balls out"" venting",#5 coil,"non ykk dadhr diecast wire // 2 sliders on closed ends tape, zip down each side to close (locking)",1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
5,hem,#5 coil ,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
6,l1 branded trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
7,waist closure,17mm donut post shank,supplier /l1-2016-trim-006,1,matte black,none,none,none,none,none
8,back left pocket ,l1 suede bar patch,l1-2016-trim-000,1,black,none,none,none,none,none
9,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,none,none,none,none,none
10,snaps,#5 coil ,#REF!,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6,0
11,"""finger snap hem adjust"" back leg hem",24l metal snap,none,1 per side = 2,psudo anti silver/ black cap,none,none,none,none,none
12,"""jacket to pant connection"" back 3 belt loops",24l metal snap,none,3,psudo anti silver,none,none,none,none,none
13,other trims,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,right hand pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
15,front of leg gaiter,metal boot hook,supplier / ref number,1 per side = 2,black,none,none,none,none,none
16,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
17,keyclip loop right hand pocket,"1/4"" flat webbing x 1 3/4"" loop",none,1,black,none,none,none,none,none
18,boot hook reinforcement,"webbing 1"" tab",none,1 per side = 2,black,none,none,none,none,none
19,"""finger snap hem adjust"" reinforcement","webbing 1"" tab",none,1 per side = 2,black,none,none,none,none,none
20, leg gaiter elastic,23mm non logo gripper elastic,none,1 per side = 2,black,none,none,none,none,none
21,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
22,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,we have had ripping problems in the past,none,none,none,none
23,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,none,none,none,none,none
24,bartacks,none,# 604 tseu,regular thread,matching,none,none,none,none,none
25,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
26,front left belt loop,l1 pant hang tag,supplier // ,1,l1 pant hang tag,none,none,none,none,none
27,front left belt loop behind main hang tag,l1 pant fit hang tag ,supplier // slim,1,l1 pant fit hang tag  //  slim,none,none,none,none,none
28,center back waist band facing,l1 pant size label,l1 pant size label,1,l1 pant size label,none,none,none,none,none
29,lining front right,l1 main label,slim fit // 10k/10k // fully taped ,1,slim fit // 10k/10k // fully taped ,none,none,none,none,none
30,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
31,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
32,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
33,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
