,description,item,ref,amount,colorway/4,colorway/5,colorway/6,colorway/7,colorway/8,colorway/9
1,fly ,#5 coil,ykk dalh // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
2,leg pocket,#3 coil,non ykk dadr12 fashion drop  // 1-way locking,1,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
3,hem,#5 coil,non ykk dadhr diecast wire // 1-way locking,1 per side = 2,silder/pull color: x6 black oxides/ tape color: black,none,none,none,none,none
4,l1 branded trims,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
5,cf fly,17mm donut post shank,supplier / l1-2016-trim-005,1,matte black,none,none,none,none,none
6,"front right hand pocket, back left hand pocket",10mm square rivet,l1-2016-trim-004,2,matte black,none,none,none,none,none
7,front pocket edges,10mm denim rivet ,14-l1sp-089,3,matte black,none,none,none,none,none
8,back left knee,l1 small faux suede patch,l1-2017-trim-106,1,black,none,none,none,none,none
9,front left hem,l1 embroidery large,factory sorced // l1-2016-trim-027,1,dtm shell,none,none,none,none,none
10,other trims,item,slider ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
11,waist drawcord,"3/8"" flat waxed shoe lace with clear plastic tips",supplier / ref number,1 + 2 clear plastic tips,black waxed / clear tips,none,none,none,none,none
12,leg pocket,key clip,j&k // hk-001,1,black,none,none,none,none,none
13,webbing & elastic,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,keyclip loop leg pocket,"1/4"" flat x 1 3/4"" loop",none,1,black,none,none,none,none,none
15,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
16,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),# 604 tseu,regular thread,matching,we have had ripping problems in the past,none,none,none,none
17,seams,8-10 spi,# 604 tseu,regular thread,matching,none,none,none,none,none
18,denim weight topstitch,8-10 spi,#606 tseu,heavy weight topstitch thread,matching,none,none,none,none,none
19,bartacks,none,# 604 tseu,regular thread,matching,none,none,none,none,none
20,l1 marketing,item,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
21,front left belt loop,l1 pant hang tag,supplier //,1,l1 pant hang tag,none,none,none,none,none
22,front left belt loop behind main hang tag,denim warning hang tag,supplier // ,1,denim warning hang tag,none,none,none,none,none
23,front left belt loop behind denim dye warning hang tag,l1 pant fit hang tag ,supplier // skinny fit,1,l1 pant fit hang tag  // skinny fit,none,none,none,none,none
24,center back waist band facing,l1 wmns pant size label,l1 wmns pant size label,1,l1 wmns pant size label,none,none,none,none,none
25,lining front right,l1 wmns main label,skinny fit // 10k/10k // critically taped,1,skinny fit // 10k/10k // critically taped,none,none,none,none,none
26,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
27,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
28,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
29,front left belt loop to attach hang tags,clear zip tie,supplier //,1,clear zip tie,none,none,none,none,none
