,0,1,2,3,4,5,6,7,8,9
0,nitro womens jacket,none,none,none,none,sample size small / xs-l,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,w18-102,none,none,date created:,none,2017-03-22 00:00:00,none,none
3,style name:,none,fjallkona,none,none,date revised:,none,2016-07-11 00:00:00,none,none
4,waterproof/breathability:,none,15k/15k,none,none,block:,none,0,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular,none,none
6,insulation:,none,40g polyfill with sherpa back,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9, #5 vislon zipper,ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
10, #5 coil zipper,non ykk /  1-way dfw short non locking,chest pocket vertical,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
11, #5 coil zipper,non ykk /  1-way dfw short non locking,sleeve pocket,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
12, #5 coil zipper,non ykk /  1-way dfw short non locking,underarm vents,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
13, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets horizontal,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
14, #5 coil zipper,non ykk /  1-way dfw short non locking,lining pocket vertical,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
16,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,1,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,chest pocket vertical,1,color,none,none,none,none,none
19,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,1,color,none,none,none,none,none
20,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,1 per side = 2,color,none,none,none,none,none
21,nitro custom pull / n14-trim-139,knk / 3738,hand pockets horizontal,1 per side = 2,color,none,none,none,none,none
22,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,1,color,none,none,none,none,none
24,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
25,nitro trim number //  metal snap,xxx,chin and back hem,1,color,none,none,none,none,none
30,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
31,15mm metal snap,luk's / 404,hidden at hem ,1,metal color,none,none,none,none,none
32,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,metal color,none,none,none,none,none
