,position,ref num,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
8, #5 coil zipper,ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
9, #5 coil zipper,non ykk /  1-way dfw short non locking,chest pocket horizontal,1,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
10, #3 coil zipper,non ykk /  1-way dfw short non locking,sleeve pocket,1,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
11, #3 coil zipper,non ykk /  1-way dfw short non locking,underarm vents,1 per side = 2,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
12, #5 coil zipper,non ykk /  1-way dfw short non locking,hand pockets vertical,1 per side = 2,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
13, #3 coil zipper,non ykk /  1-way dfw short non locking,lining pocket vertical,1,silder/pull color: tbd zipper tape color: black,none,none,none,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,nitro custom pull / n14-trim-139,knk / 3738,center front 1 top pull only,1,color,none,none,none,none,none
16,nitro custom pull / n14-trim-139,knk / 3738,chest pocket horizontal,1,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,sleeve pocket,1,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,underarm vents,1 per side = 2,color,none,none,none,none,none
19,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
20,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,1,color,none,none,none,none,none
21,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
22,nitro trim number //  metal snap,xxx,chin,1,color,none,none,none,none,none
24,powder skirt gripper elastic ,"nitro embossed 
petersham tape 
(e1342816 20mm)
chun wo ho",powder skirt gripper elastic ,1,color,none,none,none,none,none
25,goggle pocket binding,chun wo ho,goggle pocket opening,1,color,none,none,none,none,none
26,joey cord keep 3mm,woojin/ w863,lining center front chest,1,black,none,none,none,none,none
27,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
28,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,metal color,none,none,none,none,none
29,15mm metal snap,luk's / 404,powder skirt - front closure,"1 female, 2 male",metal color,none,none,none,none,none
30,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,3 sets,metal color,none,none,none,none,none
31,8mm metal eyelet,luk's / et04,front hood adjust,2 per side = 4,metal color,none,none,none,none,none
34,8mm metal eyelet,luk's / et04,hem adjust ,2 per side = 4,metal color,none,none,none,none,none
37,adjust,duraflex 1-17976 evil eye tension lock 10mm nylon,back hood adjust,1,color,none,none,none,none,none
39,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
40,"grosgrain 1/4""",xxx,attach front hood cord lock,1 per side = 2,color,none,none,none,none,none
41,"grosgrain 3/8""",xxx,attach hem cord lock,1 per side = 2,color,none,none,none,none,none
42,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,1,color,none,none,none,none,none
43,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,1,color,none,none,none,none,none
44,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,3 pieces ,color,none,none,none,none,none
45,"elastic  1""",xxx,encased in back of sleeve cuffs,1 per side = 2,color,none,none,none,none,none
46,shockcord,xxx,hood,1,color,none,none,none,none,none
47,shockcord,xxx,hem,1,color,none,none,none,none,none
48,"elastine tape (used in 1"" x1 1/2"" welt)",xxx,lining media pocket cord exit,1,color,none,none,none,none,none
49,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
50," 1/2"" x 1 1/2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,chin,1,match to shell,none,none,none,none,none
51," 1/2"" x 2"" velcro with rounded corners",paiho / loop#1057 on placket paiho / hooketn7 on body,center front placket,4,match to shell,none,none,none,none,none
52,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,none,none,none,none,none
53,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,none,none,none,none,none
54,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
58,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
60,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
62,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
