,position,ref num,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
8, #5 coil zipper,ykk / dalh 1-way semi auto locking,fly,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
9,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk /  1-way dfw short non locking,hand pockets,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
10, #5 coil zipper,ykk /  1-way dfw short non locking,back pockets horizontal ,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
11, #5 coil zipper,ykk /  1-way dfw short non locking,chest pocket,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
12,#5 aquaguard coil zipper with matte transparent film (5cnt10),"ykk dfw/dfw non lock // 2-way  closed end separating,  sliders close up and down, top is open end, bottom is closed",side entry,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
13, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gusset ,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,nitro custom pull / n14-trim-139,knk / 3738,hand pocket zippers,1 per side = 2,color,none,none,none,none,none
16,nitro custom pull / n14-trim-139,knk / 3738,back pockets horizontal ,1 per side = 2,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,1,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,side entry zippers,2 per side = 4,color,none,none,none,none,none
19,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
20,nitro trim number 11nt-033 / logo metal grommet,luks/ et07-n0711,front left belt loop,1,color,none,none,none,none,none
21,nitro trim number (?)/ nitro embossed suspender elastic,chun wo ho / e1343016 38mm,shoulder straps,1 per side= 2,color,none,none,none,none,none
22,heat transfer,sealon/,back left leg,1,color,none,none,none,none,none
23,nitro trim number n18-trim-020 / nitro gripper elastic,chun wo ho/ e1337216 25mm,gaiter hems,2,color,none,none,none,none,none
24,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
25,15mm metal snap,xxx,"""village hem"" leg snaps",1 per side = 2,cap and base color,none,none,none,none,none
26,boot hook,xxx,front gaiter,1 per side = 2,metal color,none,none,none,none,none
27,keyclip,xxx,right hand pocket,1,black,none,none,none,none,none
28,clip,"duraflex/
simplex buckle (38mm) 11-90298-000000
11-90299-000000",buckle on suspender elastic straps,1 per side = 2,black,none,none,none,none,none
29,tpr sliplok,"duraflex/
(38mm) tpr sliplok #2-04428",adjust on suspender elastic straps,1 per side = 2,black,none,none,none,none,none
30,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
31,grosgrain,xxx,"under ""village hem"" leg snaps",1 per side = 2,color,none,none,none,none,none
32,grosgrain,xxx,under boot hook,1 per side = 2,color,none,none,none,none,none
33,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,1,color,none,none,none,none,none
35,bonding film,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
36,bonding film,xxx,waist adjust tabs,1 per side = 2,color,none,none,none,none,none
37,bonding film,xxx,fly opening,1,color,none,none,none,none,none
38,bonding film,xxx,hand pocket zipper garages / welts,1 per side = 2,color,none,none,none,none,none
39,bonding film,xxx,back pocket flaps,1 per side = 2,color,none,none,none,none,none
40,bonding film,xxx,hem gusset welts,1 per side = 2,color,none,none,none,none,none
41,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
42,"1"" x 1 1/4"" velcro with rounded corners",paiho loop #1057 on top / paiho hook etn7 on bottom,waist band,2 tabs,match to shell,none,none,none,none,none
43,"1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,back pocket flaps (hidden),2 per side,match to shell,none,none,none,none,none
44,"1 1/4"" x 4 1/2"" velcro with rounded corners",paiho loop #1057 ,waist adjust - on body,1 per side = 2,match to shell,none,none,none,none,none
45,"1 1/4"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,waist adjust - on tabs,1 per side = 2,match to shell,none,none,none,none,none
46,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
50,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
52,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
54,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
