,position,ref num,none,none,none,sample size: small / size range: xs-l,none
1,season:,none,winter 2018/2019,none,none,contractor:,soluna
2,style number:,none,w18-201,none,none,date created:,2017-03-29 00:00:00
3,style name:,none,yamanouchi bib,none,none,date revised:,1899-12-30 00:00:00
4,waterproof/breathability:,none,20k/25k,none,none,block:,based on w17-201 wmns yamanouchi bib fit
5,seam sealing:,none,fully seam sealed,none,none,fit:,regular fit
6,insulation:,none,not insulated,none,none,target fob:,0
7,zippers,supplier/ reference number,location,amount,colorway 1,none,none
8, #5 coil zipper,ykk/  dfw short non lock,chest pocket,1 per side = 2,none,none,none
9, #5 coil zipper,ykk /  1-way dfw short non locking,hand pockets,1 per side = 2,none,none,none
10,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk/  dfw short non lock,horseshoe shaped back entry,1,none,none,none
11, #5 coil zipper,ykk /  1-way dfw short non locking,back pockets horizontal,1 per side = 2,none,none,none
12, #5 coil zipper,ykk / dalh 1-way semi auto locking,hem gusset ,1 per side = 2,none,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,none,none
14,nitro custom pull / n14-trim-139,knk / 3738,chest pocket,1 per side = 2,color,none,none
15,nitro custom pull / n14-trim-139,knk / 3738,hand pockets,1 per side = 2,color,none,none
16,nitro custom pull / n14-trim-139,knk / 3738,horseshoe shaped back entry,1 per side = 2,color,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,back pockets horizontal,1 per side = 2,color,none,none
18,branded trims,supplier/ reference number,location,amount,colorway 1,none,none
19,nitro trim number (?)/ nitro embossed suspender elastic,chun wo ho / e1343016 38mm,shoulder straps,1 per side= 2,color,none,none
20,heat transfer,sealon/,back left leg,1,color,none,none
21,nitro trim number n18-trim-020 / nitro gripper elastic,chun wo ho/ e1337216 25mm,gaiter hems,2,color,none,none
22,trims,supplier/ reference number,location,amount,colorway 1,none,none
23,15mm metal snap,xxx,"""village hem"" leg snaps",1 per side = 2,cap and base color,none,none
24,boot hook,xxx,front gaiter,1 per side = 2,metal color,none,none
25,keyclip,xxx,right hand pocket,1,black,none,none
26,clip,"duraflex/
simplex buckle (38mm) 11-90298-000000
11-90299-000000",buckle on suspender elastic straps,1 per side = 2,black,none,none
27,tpr sliplok,"duraflex/
(38mm) tpr sliplok #2-04428",adjust on suspender elastic straps,1 per side = 2,black,none,none
28,notions,supplier/ reference number,location,amount,colorway 1,none,none
29,grosgrain,xxx,"under ""village hem"" leg snaps",1 per side = 2,color,none,none
30,grosgrain,xxx,under boot hook,1 per side = 2,color,none,none
31,"grosgrain 1/4""",xxx,right hand pocket attach keyclip,1,color,none,none
32,elastic,none,waist band adjust,1 per side = 2,elastic,none,none
33,bonding film,supplier/ reference number,location,amount,colorway 1,none,none
34,bonding film,xxx,waist adjust tabs,1 per side = 2,color,none,none
35,bonding film,xxx,hand pocket zipper garages / welts,1 per side = 2,color,none,none
36,bonding film,xxx,hem gusset welts,1 per side = 2,color,none,none
37,bonding film,xxx,back pocket flaps,1 per side = 2,color,none,none
38,velcro,supplier/ reference number,location,amount,colorway 1,none,none
39,"1"" x 4"" velcro with rounded corners",paiho loop #1057 ,waist adjust - on body,1 per side = 2,match to shell,none,none
40,"1"" x 2"" velcro with rounded corners",paiho hook etn7 on flap,waist adjust - on tabs,1 per side = 2,match to shell,none,none
41,"1/2"" x 1 1/2"" velcro with rounded corners",paiho loop #1057 on bag / paiho hook etn7 on flap,back pocket flaps (hidden),"1 set per side = 
2 sets",match to shell,none,none
42,thread,spi,supplier/ ref number,amount,colorway 1,none,none
43,seams,10-12 spi,30 / 2,none,match to shell,none,none
44,topstitch,8-10 spi,30 / 2,none,match to shell,none,none
45,bartacks,none,100 / 2,none,match to shell,none,none
46,labels ,supplier/ reference number,location,amount,colorway 1,none,none
47,main label,none,center back waist band lining,1,none,none,none
48,hang tags,supplier/ reference number,location,amount,colorway 1,none,none
49,main hang tag,none,left hand pocket zipper,1,none,none,none
50,care and content labels,supplier/ reference number,location,amount,colorway 1,none,none
51,address label,factory sourced,lining left side seam,1,none,none,none
52,content label,factory sourced,lining left side seam,1,none,none,none
53,washing label,factory sourced,lining left side seam,1,none,none,none
