,brand,style,item,trims,fabric,description,ref,supplier,position,spec,qty,price,total,terms,colorway-1,colorway-2,colorway-3,colorway-4
0,head,821126 _sestriere mens jacket,fabric/ lining,0,1,3 layer main material,sone 108-3l04-d,solis,"all parts except back middle part and hood middle piece, inner storm flap at center front, bonded, sleeve adjustment bonded (a)",none,none,none,none,none,scarlet red 19-1760 tcx,black,none,none
1,head,821126 _sestriere mens jacket,fabric/ lining,0,1,3 layer main material ,none,solis,middle insert on back part body and hood (b),none,none,none,none,none,dress blue 19-4024 tcx,aurora 12-0642 tcx,none,none
2,head,821126 _sestriere mens jacket,3 layer backing,0,1,brushed lining,benbug 175g,wooju textile,"inside collar, inner storm-flap top part, inside chest pocket, side pocket bags",none,none,none,none,none,iron gate 19-3910 tcx,iron gate 19-3910 tcx,none,none
3,head,821126 _sestriere mens jacket,3 layer backing,0,1,lining for sleeve pocket,n/t210t no coating p/d cire,"g&h international co.,ltd",sleeve (ski pass)pocket bag,none,none,none,none,none,iron gate 19-3910 tcx,iron gate 19-3910 tcx,none,none
4,head,821126 _sestriere mens jacket,3 layer backing,0,1,lycra material,spandex fulldull twoway (280g),dong hwa ind co.ltd,tiecord tunnel at hood,none,none,none,none,none,black,black,none,none
5,head,821126 _sestriere mens jacket,velcro,1,0,loops,25m/m,dg dong dae,"velcro cuff adjustment on sleeve, exact shape see detail sketch",none,2,none,none,none,black,black,none,none
6,head,821126 _sestriere mens jacket,velcro,1,0,hooks,25m/m,dg dong dae,"velcro cuff adjustment on sleeve, exact shape see detail sketch",none,2,none,none,none,black,black,none,none
7,head,821126 _sestriere mens jacket,tapes,1,0,seam tape ,s30908-blk921f131,solis,all seams,none,none,none,none,none,match to solis fabric backing,match to solis fabric backing,none,none
8,head,821126 _sestriere mens jacket,tapes,1,0,hotmelt/welding film,hot melt film (am-120s),himel - kido,"cuff flap, wind flap, hem, hood front, front collar facing, earphone loop patch, inner pkt, side pkt, sleeve pkt",none,none,none,none,none,none,none,none,none
9,head,821126 _sestriere mens jacket,logo/ branded trims,1,0,"tab logo, version up to sit on top of the seam","h la 013, head logo lasercut hipster tape",clotex,"on right shoulder at back part, on left sleeve on front part above elbow",none,2,"0,11$",none,none,"version b :                  
silver c-407 - print black","version b :                  
silver c-407 - print black",none,none
10,head,821126 _sestriere mens jacket,logo/ branded trims,1,0,rivet,h-mp 011 db 0692-0,dragon times,"front right side 2,5cm to side seam and 2,5cm from bottom hem",none,1,"0,10$",none,none,gloss silver db 0692-0,gloss silver db 0692-0,none,none
11,head,821126 _sestriere mens jacket,label,1,0,care and content label,h- aw 131,clotex,left side seam,none,1,none,none,none,white,white,none,none
12,head,821126 _sestriere mens jacket,label,1,0,compact ht  wh/or,h-aw 123,avery dennison,inside jacket ,none,1,none,none,none,anthrazite,anthrazite,none,none
13,head,821126 _sestriere mens jacket,zipper,1,0,#5 ykk coil reversed t8 shiny,t8 shiny,ykk,center front zipper,none,1,none,none,none,"scarlet red 19-1760 tcx 
ykk 519","black 
ykk 580",none,none
14,head,821126 _sestriere mens jacket,zipper,1,0,slider open right side,da8blh,ykk,front zipper,none,1,none,none,none,"scarlet red 19-1760 tcx 
ykk 519","black 
ykk 580",none,none
15,head,821126 _sestriere mens jacket,zipper,1,0,#3 ykk coil reversed ,#3 ,ykk,"2x lower front pockets, 2 ventilation zips, 1 sleeve ski pass pocket",none,5,none,none,none,"scarlet red 19-1760 tcx 
ykk 519","black 
ykk 580",none,none
16,head,821126 _sestriere mens jacket,zipper,1,0,slider,dav3lh,ykk,"2x lower front pockets, 2 ventilation zips, 1 sleeve ski pass pocket",none,5,none,none,none,c5 silver,c5 silver,none,none
17,head,821126 _sestriere mens jacket,zipper,1,0,#3 ykk coil reversed ,#3 cc,ykk,1x inner pocket,none,1,none,none,none,"iron gate 19-3910 tcx 
ykk 182","iron gate 19-3910 tcx 
ykk 182",none,none
18,head,821126 _sestriere mens jacket,zipper,1,0,slider,dav3lh,ykk,1x inner pocket,none,1,none,none,none,"iron gate 19-3910 tcx 
ykk 182","iron gate 19-3910 tcx 
ykk 182",none,none
19,head,821126 _sestriere mens jacket,zip puller,1,0,head zipper puller with loop,h-zp007 db 0752-0,dragon times,"1x center front zip, 2x hand pocket zips",none,3,"0,16$",none,none,gloss silver db 0752-0,gloss silver db 0752-0,none,none
20,head,821126 _sestriere mens jacket,zip puller,1,0,head zipper puller with  rope ,h-el 025,dragon times,"2xventilation zips, 1x ski pass pocket",none,3,none,none,none,black,black,none,none
21,head,821126 _sestriere mens jacket,trims,1,0,"draw cord 2,5mm",elastic nylon string,dg.in dal,hood at back side,none,none,none,none,none,black,black,none,none
22,head,821126 _sestriere mens jacket,trims,1,0,grosgrain tape,gol tape 10m/m,dg.in dal,to attach stopper at lower and upper end,none,none,none,none,none,black,black,none,none
23,head,821126 _sestriere mens jacket,trims,1,0,cord stopper a,pl stopper dghs-324,dong gwang sa industry,hood back side,none,1,none,none,none,black,black,none,none
24,head,821126 _sestriere mens jacket,trims,1,0,cord end very tiny drop shape,pl end stopper dgst-beh080,dong gwang sa industry,hood back side,none,1,none,none,none,black,black,none,none
