,brand,style,qty,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,spec,item,position,ref,fabric,trims,outer,inner
0,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,,,,, #8 metal zipper,center front,ykk / 2-way semi auto locking with 2 l1 custom pulls,0,1,1,0
1,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,,,,, #5 metal zipper,sleeve pocket,non ykk / 1-way dadhr die cast wire non locking,0,1,1,0
2,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,, #5 coil zipper,underarm vents,non ykk / 1-way dadhr die cast wire non locking,0,1,1,0
3,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,,,,, #5 coil zipper,hand pockets vertical,non ykk / 1-way dadhr die cast wire non locking,0,1,1,0
4,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,,,,, #5 coil zipper,lining pocket vertical,non ykk / 1-way dadhr die cast wire non locking,0,1,1,0
5,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,additional zipper pulls,location,supplier/ reference number,0,1,1,0
6,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,top and bottom pull = 2,,ykk x antique copper,ykk x antique copper,ykk x antique copper,,,,,"l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",center front,ykk,0,1,1,0
7,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,3,,black faux leather,black faux leather,black faux leather,,,,,"l1-2018-trim-018
non branded zipper pull. faux leather",sleeve pocket (1) hand pockets (2),please source: same supplier as other faux leather trims,0,1,1,0
8,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,match to shell,match to shell,match to shell,,,,, 11nt-045 / self fabric pull ,underarm vents,factory made,0,1,1,0
9,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,match to shell,match to shell,match to shell,,,,, 11nt-045 / self fabric pull ,lining pocket vertical,factory made,0,1,1,0
10,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,branded trims,location,supplier/ reference number,0,1,1,0
11,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black faux leather,black faux leather,black faux leather,,,,,"l1-2018-trim-007
large black faux leather hem wrap",left hand pocket hem,please source: same supplier as other faux leather trims,0,1,1,0
12,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black faux leather,black faux leather,black faux leather,,,,,"l1-2018-trim-002
black faux leather patch",front right hem,please source: same supplier as other faux leather trims,0,1,1,0
13,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,match to shell,match to shell,match to shell,,,,,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",left sleeve hem,soluna,0,1,1,0
14,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,match to shell,match to shell,match to shell,,,,,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",back right,soluna,0,1,1,0
15,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,trims,location,supplier/ reference number,0,1,1,0
16,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,2,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,15mm metal snap,front placket (hidden at chin),luk's / 404,0,1,1,0
17,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,15mm metal snap,front placket (hidden at hem),luk's / 404,0,1,1,0
18,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,"2 female, 4 male",,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,,,,,15mm metal snap,powder skirt - front closure,luk's / 404,0,1,1,0
19,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 male 1 female,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,,,,,15mm metal snap,snap away powder skirt - lining facing ,luk's / 404,0,1,1,0
20,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,3 sets,,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,,,,,15mm metal snap,powder skirt - jacket to pant connection,luk's / 404,0,1,1,0
21,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,2 per side = 4,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,metal eyelets 8mm,hood cord exit front,luk's / et04,0,1,1,0
22,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,2 per side = 4,,oxcp oxidized copper,oxcp oxidized copper,oxcp oxidized copper,,,,,metal eyelets 8mm,hem cord exit,luk's / et04,0,1,1,0
23,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,19-4006 tcx black, 19-0515 tcx military,18-0513 tcx walnut,,,,,cord lock: small cord lock with tie down,front hood adjust,sun sun/ sv160824-2a,0,1,1,0
24,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper,,,,,metal shockcord tip,front hood shockcord ends,see photo,0,1,1,0
25,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,keyclip,right hand pocket,as last year production,0,1,1,0
26,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,notions,location,supplier/ reference number,0,1,1,0
27,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,black,black,black,,,,,"grosgrain 1/4""",hood cord locks,please source,0,1,1,0
28,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,"grosgrain 1/4""",attach keyclip right hand pocket ,xxx,0,1,1,0
29,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,grosgrain,powder skirt - side tabs jacket to pant connection ,xxx,0,1,1,0
30,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,2,,black,black,black,,,,,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",powder skirt - side tabs jacket to pant connection ,none,0,1,1,0
31,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,match to shell,match to shell,match to shell,,,,,"shell fabric tab  1"" x 1"" wrap around ",jacket to pant connection center back on tab,none,0,1,1,0
32,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,match to shell,match to shell,match to shell,,,,,"shell fabric tab  1"" x 1"" wrap around ",jacket to pant connection center back under snap on gripper elastic,none,0,1,1,0
33,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1 per side = 2,,match to shell,match to shell,match to shell,,,,,"shell fabric tab 3/4"" x  1"" ",jacket to pant connection at side tabs under snaps,none,0,1,1,0
34,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,"elastic 1"" x 4""",powder skirt middle tab - jacket to pant connection ,none,0,1,1,0
35,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,"elastic 1/4"" ",cable guide,none,0,1,1,0
36,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,elastine binding,goggle pocket binding,xxx,0,1,1,0
37,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,black,black,black,,,,,gripper elastic 25mm non logo,powder skirt hem,mtt0022,0,1,1,0
38,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,"two-color shock cord =
colorway: 1
19-4006 tcx black/
18-0403 tcx gunmetal","two-color shock cord =
colorway: 4
19-0515 tcx military/
17-0620 tcx dusty green","two-color shock cord =
colorway: 5
18-0513 tcx walnut/
19-4006 tcx black",,,,,"l1-2018-trim-030
two-color shock cord
see color ups for 
colors",hood,chun wo ho /,0,1,1,0
39,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,amount,,black,military,walnut,,,,,velcro,location,supplier/ reference number,0,1,1,0
40,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,1,,match to shell,match to shell,match to shell,,,,," 1/2"" x 1 1/2"" velcro with rounded corners",chin,paiho / loop#1057 / hooketn7,0,1,1,0
41,L1,L1-103-18_GRIMEY_4-03-17_TRIMS,4,,match to shell,match to shell,match to shell,,,,," 1/2"" x 3 velcro with rounded corners",center front placket,paiho / loop#1057 / hooketn7,0,1,1,0
