,0,1,2,3,4,5,6,7,8,9
0,airblaster,none,none,none,none,style number: ab17mj4_076,none,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none,none
2,none,none,none,none,none,season: winter 2016/17,none,none,none,none
3,none,none,insulation:,none,none,collection: s.layer,none,none,none,none
4,style name:,none,seams:,none,none,vendor: soluna,none,none,none,none
5,bruiser jacket,none,mm rating:,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none
8,none,updated: 9.10.15,none,none,none,color #1,color #2,color #3,color #4,color #5
9,none,material/trim,description,location,qty,black,forest,dk khaki,greyskull,wood duck critterflage
10,none,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,sotp013-2l32-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,black,forest,dk khaki,greyskull,n/a
12,b,shell fabric,sotp013-pr20-ae 100% polyester 80/20 dwr tpu membrane (supplied by solis),"main body, sleeves, pockets, collar",none,n/a,n/a,n/a,n/a,wood duck critterflage
13,c,lining, soto048-p velvety tricot -  smooth side used as face side,front and back body only,none,night jungle,night jungle,night jungle,night jungle,n/a
14,d,lining, soto048-1 velvety tricot -  smooth side used as face side,front and back body only,none,n/a,n/a,n/a,n/a,black
15,e,lining, soto048-1 velvety tricot -  smooth side used as face side,"inside lining, pocket bag, sleeves",none,black,black,black,black,black
16,f,pellon,lightweight interfacing (item# tbd),"collar, placket, cuffs, welts",none,white,white,white,white,white
18,none,none,none,none,trims,none,none,none,none,none
19,bb,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)",(5)c.f.,5,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass
20,bb, drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,bottom hem,1,black,black,black,black,black
21,bb,hardware,"metal eyelets, 12mm (incl. washers)", (2) inside bottom hem,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-17 mid dark anti brass
22,bb,stopper,leather stopper abstpr_01, (2) bottom hem drawcord,2,brown,brown,brown,brown,brown
23,bb,elastic , 2.5 cm flat elastic ,(2) cuffs,2,black,black,black,black,black
24,dd,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black
25,ee,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream
26,ff,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
27,gg,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream
28,hh,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,black/white
30,none,none,none,none,hangtags/packaging,none,none,none,none,none
31,ii,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
32,jj,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
33,kk,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear
34,ll,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
35,mm,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
37,special instructions:,none,none,none,none,none,none,none,none,none
38,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none,none
39,2,stitches per inch:,8-10,none,none,none,none,none,none,none
40,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none,none
41,4,bartack:,at stress points,none,none,none,none,none,none,none
42,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none,none
43,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none,none
44,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none,none
