,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,airblaster,none,none,none,none,style number: ab18wp3_056,none,none,none,none,none,none,none,none
1,none,none,none,none,none,designer: mg,none,none,none,none,none,none,none,none
2,none,none,none,none,none,season: winter 2017/18,none,none,none,none,none,none,none,none
3,none,none,insulation,none,none,collection: freedom series,none,none,none,none,none,none,none,none
4,style name:,none,seam sealing,"critically taped: front/back rise, back yoke",none,vendor: soluna,none,none,none,none,none,none,none,none
5,fancy pants,none,mm rating,none,none,none,none,none,none,none,none,none,none,none
7,none,none,pink highlighted = changes,none,none,none,none,none,none,none,none,none,none,none
8,none,updated: 6.27.16,none,none,none,color #1,color #2,color #3,color #4,color #5,color #6,color #7,color #8,none
9,none,material/trim,description,location,qty,black,navy,oxblood,mint julep,vintage black,dark navy,khaki,dinoflage,none
10,none,none,none,fabrics & linings,none,none,none,none,none,none,none,none,none,none
11,a,shell fabric,sotp069-c1-h 100% polyester  15k/10k+2-layer +breathable coating+dwr (supplied by solis),main body,none,black,navy,oxblood,mint julep,n/a,n/a,n/a,n/a,ab18wp3_056
12,b,shell fabric,sotd109-c1-y 100% polyester 10k/8k +2-layer +breathable coating+dwr (supplied by solis),main body,none,n/a,n/a,n/a,n/a,vintage black ,dark navy,khaki,dinoflage,ab18wp3_056
13,c,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,black,black,black,black,black,black,black,black,ab18wp3_056
14,d,other, velvety tricot - soto048-1 (supplied by solis),"at inside waistband, inside hand pockets at front panels only, inside fly",none,black,black,black,black,black,black,black,black,ab18wp3_056
15,e,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black,black,black,black,black,ab18wp3_056
16,f,other,40gm insulation,main body,none,white,white,white,white,n/a,n/a,n/a,n/a,ab18wp3_056
17,none,none,none,none,none,none,none,none,none,none,none,none,none,ab18wp3_056
18,none,none,none,zippers,none,none,none,none,none,none,none,none,none,ab18wp3_056
19,aa,zipper,"no.5 ykk nylon coil zippers, auto-lock slider da8lh ",fly ,1,black,navy 196,oxblood 097,mint julep 829,vintage black 580,dark navy 391,khaki 886,duffel 237,ab18wp3_056
20,bb,zipper,"no.5 ykk zippers, auto-lock slider da8lh1 (swivel head) (zippers close from c.b. to side seam)",back pockets,2,black,navy 196,oxblood 097,mint julep 829,vintage black 580,dark navy 391,khaki 886,duffel 237,ab18wp3_056
21,cc,zipper pull,abzp_01 utility cord pulls,(2) pockets,2,black,black,black,bone,black,black,black,black,ab18wp3_056
22,none,none,none,none,none,none,none,none,none,none,none,none,none,ab18wp3_056
23,none,none,none,trims,none,none,none,none,none,none,none,none,none,ab18wp3_056
24,dd,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)","bang snaps (2), cf closure(2)",4,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,ab18wp3_056
25,ee,hardware,12mm metal eyelet  (incl. washers),"front waistband 5cm each side of center front (2), left belt loop (1)",3,pewter bi-10,pewter bi-10,pewter bi-10,pewter bi-10,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,dark anti brass bi-18,ab18wp3_056
26,ff,hardware,metal hook closure,at inside waistband,1,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,ab18wp3_056
27,gg,hardware,metal lace hooks,at inside lower leg gaiters,2,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,black oxidized,ab18wp3_056
28,hh,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,black,black,black,black,black,black,black,dark olive,ab18wp3_056
29,ii,elastic,gripper elastic,at inside lower leg gators,1,black,black,black,black,black,black,black,black,ab18wp3_056
30,jj,key clip,plastic key clip attched with webbing loop,inside w. right pocket,1,black,black,black,black,black,black,black,black,ab18wp3_056
31,kk,webbing,8 mm width webbing,key clip attachment  at wearer's right inside pocket,1,black,black,black,black,black,black,black,black,ab18wp3_056
32,ll,main label,abwv_67 freedom main label,inside c.b. waist see q/a for detail,1,gold/black,gold/black,gold/black,bone/ dark green,gold/black,gold/black,gold/black,gold/black,ab18wp3_056
33,mm,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,black/gold,black/gold,black/gold,black/offwhite,black/gold,black/gold,black/gold,black/gold,ab18wp3_056
34,nn,w/c label/content,satin with print (same as 12/13 label),"at inside side seam, 8 cm down from waistband seam",1,black,black,black,black,black,black,black,black,ab18wp3_056
35,oo,flag label,ablt_01 logo flag label (airpill side),inside of right back pocket 3cm from top of pocket,1,black/white,black/white,black/white,black/white,black/white,black/white,black/white,black/white,ab18wp3_056
36,pp,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,black/gold,black/gold,black/gold,black/offwhite,black/gold,black/gold,black/gold,black/gold,ab18wp3_056
37,qq,branding,abpa_115 airblaster pu label,"left front pocket, see art placement page for detail",1,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,oxblood/black,ab18wp3_056
38,rr,branding,abpa_117 terry pu label,"left side seam, see palcement page for detail",1,mahogany/black,mahogany/black,mahogany/black,mahogany/black,black/khaki,black/khaki,black/khaki,black/khaki,ab18wp3_056
39,none,none,none,none,none,none,none,none,none,none,none,none,none,ab18wp3_056
40,none,none,none,packaging/hang tags,none,none,none,none,none,none,none,none,none,ab18wp3_056
41,ss,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,ab18wp3_056
42,tt,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd,tbd,tbd,tbd,ab18wp3_056
43,uu,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black,black,black,black,black,ab18wp3_056
