,0,1,2,3,4,5,6,7
0,airblaster,none,none,none,none,style number: ab19wf1_119,none,none
1,none,none,none,none,none,designer:   jg,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none
3,none,none,insulation:,none,none,collection: s.layer,none,none
4,style name:,none,seams:,none,none,vendor: soluna,none,none
5,babe mountain henley,none,mm rating:,none,none,none,none,none
7,none,none,pink highlighted = changes,none,none,none,none,none
8,none,updated: 5.17.17,none,none,none,color #1,color #2,color #3
9,none,material/trim,description,location,qty,black,oxblood,sea pine
10,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),"sleeves, placket, collar",none,black,oxblood,sea pine
12,a,shell fabric,sotf036-1 100% polyester terry jacquard bonded fleece (provided by solis),front and back main body,none,heather gray,oxblood,sea pine
13,a,contrast stitching,thread,"flatlock seam at fornt and back raglan, and underarm seam",none, black,beet red 19-2030tpx,griffin 17-5102tpx
15,none,none,none,trims,none,none,none,none
16,aa,hardware,"sungrip chic plastic snap button, 13mm (incl. washers)",(4) placket,4,black g580  ,red g527,gray g577 top with gv bottom
17,bb,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,black/moonbeam,black/moonbeam
18,cc,size label,abwv_207 made in vietname woven label,sewn in and centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray
19,dd,w/c label,satin label with print,"wearer's left side seam, 10 cm up from waistband seam",1,black/white,black/white,black/white
20,ee,abwvlp_01 woven loop,abwvlp_205 loop label,inside center back neck seam,1,black,black,black
21,ff,branding,tbd,tbd,1,tbd,tbd,tbd
23,none,none,none,packaging/hang tags(bulk only),none,none,none,none
24,gg,hangtag,tbd,tbd,1,tbd,tbd,tbd
25,hh,hangtag,tbd,tbd,1,tbd,tbd,tbd
26,ii,polybag w/ warning matter (supplied by your side),airpill logo print:  16 cm,same as 1314 bulk outerwear production,1,tbd,tbd,tbd
27,jj,upc sticker,sticker width 3.5 cm,"place in looker's lower right corner, 2 cm from each edge.  upc sticker to be provided by factory for 13/14",1,white,white,white
28,kk,country of origin sticker,made in china sticker,centered above upc sticker,1,white,white,white
30,special instructions:,none,none,none,none,none,none,none
31,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none
32,2,stitches per inch:,8-10,none,none,none,none,none
33,3,zipper direction:,"cf has right hand slider, pocket zippers close down",none,none,none,none,none
34,4,bar tact:,"at stress points, bottom of c.f. zipper and at waistband zipper ends",none,none,none,none,none
35,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none
36,6,grommets/snaps:,should have pellon backing,none,none,none,none,none
37,7,hang tag:,should have the above noted hang tags,none,none,none,none,none
38,8,needle type:,ball point,none,none,none,none,none
39,9,ninja box:,1 garment per ninja packing box; upc sticker on outside packing box,none,none,none,none,none
40,10,thread color:,"matches fabric color, unless noted above",none,none,none,none,none
