,description,ref,location,content,colorway/4,colorway/5,colorway/6,colorway/7
1,none,"lucky / ltc3170017-r5-h311 micro hb, 15k/15k",a,100% polyester,ink,military,rust,black
2,insulation,supplier/ reference number,location ,content,ink,military,rust,black
3,polyfill insulation ,pinneco mantle 60g,all over,100% polyester,pinneco mantle 60g,pinneco mantle 60g,pinneco mantle 60g,pinneco mantle 60g
4,seam tape,supplier/ reference number,location ,content,ink,military,rust,black
5,seam tape,tsgs ,fully seam sealed,none,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed
6,lining,supplier/ reference number,location ,content,ink,military,rust,black
7,solid 210t ,solis / sonp006-1,hood,100% nylon,black,black,black,black
8,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print
9,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
10,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black
11,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
12,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
13,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
14,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
15,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
16,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black
