,description,ref,location,content,colorway/4,colorway/5,colorway/6
1,micro twill,"solis / sott023-2l2-i micro twill 10k/10k
",a,none,black,military,walnut
2,ribbing,leader collar/ as last year production,sleeve cuffs,none,black,military,walnut
3,insulation,supplier/ reference number,location ,content,black,military,walnut
4,polyfill insulation ,pinneco mantle 80g ,all over,100% polyester,pinneco mantle 80g ,pinneco mantle 80g ,pinneco mantle 80g 
5,seam tape,supplier/ reference number,location ,content,black,military,walnut
6,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped
7,lining,supplier/ reference number,location ,content,black,military,walnut
8,blanket lining,solis / soty066-d blanket lining / brush / no dwr,hood,none,blanket lining,blanket lining,blanket lining
9,blanket lining,solis / soty066-d blanket lining / brush / no dwr,main body,none,blanket lining,blanket lining,blanket lining
10,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black
11,solid 210t ,solis / sonp006-1,sleeve pocket bag,100% nylon,black,black,black
12,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black
13,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black
14,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black
15,regular mesh,1606b02 (als-16038),underarm vents,100% polyester,black,black,black
16,regular mesh,1606b02 (als-16038),goggle pocket,100% polyester,black,black,black
17,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black
