,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 vislon zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull color: h6 antique silver/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black
2, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,slider/pull/ teeth color: h6 antique silver/ zipper tape color: 19-1540 tcx rust,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4010 tcx ink,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black
5, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: h6 antique silver/ zipper tape / teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black
6,additional zipper pulls,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
7,"l1-2018-trim-017
l1 zipper pull",ykk,center front,top and bottom pull= 2,ykk h6 antique silver,ykk x antique copper,ykk x antique copper,ykk x antique copper
8,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,chest pocket (1) hand pockets (2),3,brown faux leather,brown faux leather,brown faux leather,brown faux leather
9, 11nt-045 / self fabric pull ,factory made,underarm vents ,1 per side = 2,match to shell,match to shell,match to shell,match to shell
10, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,match to shell,match to shell
11,branded trims,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
12,"l1-2018-trim-010
faux leather backed snap",luks,front placket chin & hem (working),3 sets,sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather
13,"l1-2018-trim-010
faux leather backed snap ",luks,waist,1 (cap only),sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather
14,"l1-2018-trim-003
faux leather patch",please source supplier,front right hand pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
15,"l1-2018-trim-024/  l1 embroidery small
3cm x 2.77cm  ",soluna,left sleeve hem,1,match to shell,match to shell,match to shell,match to shell
16,"l1-2018-trim-025 /
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell,match to shell
17,trims,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill
18,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / sas54 pseudo anti silver,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
19,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,sas54 pseudo anti silver,doxcp oxidized copper,doxcp oxidized copper,doxcp oxidized copper
20,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / sas54 pseudo anti silver,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper,al023 alloy (d) cap / doxcp oxidized copper
