,description,ref,location,amount,colorway/4,colorway/5,colorway/6,colorway/7
1, #5 vislon,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black
2, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket horizontal,1,silder/ teeth/ pull color: x antique copper/ zipper tape color: 19-0515 tcx military,silder/ teeth/ pull color: x antique copper/ zipper tape color: 19-4010 tcx ink,silder/ teeth/ pull color: x antique copper/ zipper tape color: 18-0513 tcx walnut,silder/ teeth/ pull color: x antique copper/ zipper tape color: 19-4006 tcx black
3, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black
4, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black,silder/ pull color: x antique copper/ zipper tape color: black
5,additional zipper pulls,supplier/ reference number,location,amount,military,ink,walnut,black
6,"l1-2018-trim-017
l1 zipper pull",ykk,center front,1,ykk x antique copper,ykk x antique copper,ykk x antique copper,ykk x antique copper
7,"l1-2018-trim-018
non branded zipper pull. faux leather",please source: same supplier as other faux leather trims,chest pocket (1) hand pocket (2),3,brown faux leather,brown faux leather,brown faux leather,brown faux leather
8, 11nt-045 / self fabric pull ,factory made,hand pockets vertical,1,match to shell,match to shell,match to shell,match to shell
9,branded trims,supplier/ reference number,location,amount,military,ink,walnut,black
10,"l1-2018-trim-009
freedom snap",luks,upper chin (1) hem (1),2 sets,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
11,"l1-2018-trim-009
freedom snap",luks,"lower chin (1), center front",5 cap only,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
12,"l1-2018-trim-003
faux leather patch",please source: same supplier as other faux leather trims,front right hem,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather
13,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",soluna,front left sleeve hem,1,match to shell,match to shell,match to shell,match to shell
14,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",soluna,back right,1,match to shell,match to shell,match to shell,match to shell
15,trims,supplier/ reference number,location,amount,military,ink,walnut,black
16,15mm metal snap,luk's / 404,powder skirt - front closure,"2 female, 4 male",al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base
17,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,1 male 1 female,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base
18,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection,3 sets,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base,al023 alloy (d) cap / doxcp dull oxidized copper base
19,metal eyelets 11mm ,luk's / et89,hood cord exit front,2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
20,metal eyelets 8mm ,luk's / et04,hem adjust,2 per side = 4,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
21,cord lock,sv160819-4a,hem adjust,1 per side = 2,19-0515 tcx military, 19-4010 tcx ink, 18-0513 tcx walnut, 19-4006 tcx black
22,bead,sv160725-1a,hem adjust,1 per side = 2,19-0515 tcx military, 19-4010 tcx ink, 18-0513 tcx walnut, 19-4006 tcx black
23,keyclip,as bulk,right hand pocket,1,black,black,black,black
24,metal drawcord tip,see photo,hood shockcord tips,1 per side = 2,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper
25,notions,supplier/ reference number,location,amount,military,ink,walnut,black
26,flat drawcord,example is chun wo ho/ cw17-022 - please source as photo,hood,1,19-0515 tcx military, 19-4010 tcx ink, 18-0513 tcx walnut, 19-4006 tcx black
27,"3/8"" grosgrain",soluna,attach hem cord lock,1 per side = 2,black,black,black,black
28,"1/4"" grosgrain",soluna,attach keyclip right hand pocket ,1,black,black,black,black
29,"grosgrain 3/4"" x  3 1/2"" flat webbing (finished length)",soluna,powder skirt - side tabs jacket to pant connection ,2,black,black,black,black
30,"shell fabric tab  1"" x 1"" wrap around ",soluna,jacket to pant connection center back on tab,1,shell,shell,shell,shell
31,"shell fabric tab  1"" x 1"" wrap around ",soluna,jacket to pant connection center back under snap on gripper elastic,1,shell,shell,shell,shell
32,"shell fabric tab 3/4"" x  1"" ",soluna,jacket to pant connection at side tabs under snaps,1 per side = 2,shell,shell,shell,shell
33,"elastic 1"" x 4""",soluna,powder skirt middle tab - jacket to pant connection ,1,black,black,black,black
34,25mm gripper elastic,mtt0022,powder skirt,1,black,black,black,black
35,elastine binding,soluna,goggle pocket binding,1,black,black,black,black
36,"1/4"" elastic",soluna,cable guide,1,black,black,black,black
37,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hem,1,"colorway: 4 = 19-0515 tcx military/
17-0620 tcx dusty green ","colorway: 6
19-4010 tcx ink /
18-0403 tcx gunmetal","colorway: 5 = 18-0513 tcx walnut/
19-4006 tcx black ","colorway: 1 = 19-4006 tcx black/
18-0403 tcx gunmetal"
38,velcro,supplier/ reference number,location,amount,military,ink,walnut,black
39,"1/2"" x 1 1/2"" velcro with rounded corners",xxx,chin,1,match to shell,match to shell,match to shell,match to shell
40,"1/2"" x 3 velcro with rounded corners",xxx,center front placket,4,match to shell,match to shell,match to shell,match to shell
41,"3/4"" x 3 3/4"" velcro with rounded corners",xxx,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,match to shell
42,"3/4"" x 2 1/2"" velcro with rounded corners",xxx,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,match to shell
43,thread,spi,supplier/ ref number,amount,military,ink,walnut,black
44,seams,10-12 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
45,denim (heavy) weight topstitch thread - can you suggest thickness,8-10 spi,Feb-30,none,match to shell,match to shell,match to shell,match to shell
46,bartacks,none,100/2,none,match to shell,match to shell,match to shell,match to shell
47,labels ,supplier/ reference number,location,amount,military,ink,walnut,black
48,10k/10k critically taped,soluna/ main label,center back below neck seam,1,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped,10k/10k critically taped
49,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl"
50,hang tags,supplier/ reference number,location,amount,military,ink,walnut,black
51,mens jacket hang tag,soluna/ mens jacket hang tag,center back locker loop,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag
52,care and content labels,supplier/ reference number,location,amount,military,ink,walnut,black
53,address label,factory sourced,lining left side seam,1,address label,address label,address label,address label
54,content label,factory sourced,lining left side seam,1,content label,content label,content label,content label
55,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,washing label
