,0,1,2,3,4,5,6,7,8,9
0,nitro mens jacket,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n17-112,none,none,date created:,none,2017-03-22 00:00:00,none,none
3,style name:,none,atacama poncho,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,0,none,none,block:,none,new,none,none
5,seam sealing:,none,0,none,none,fit:,none,relaxed,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9, #5 coil zipper,ykk / 5 dalh 1-way semi auto locking,center front,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
11,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
12,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
14,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
18,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
19,8mm metal eyelet,luk's / et04,hood adjust,2,color,none,none,none,none,none
20,cord lock,none,hood adjust,1,color,none,none,none,none,none
21,bead,none,hood adjust,1,color,none,none,none,none,none
22,15mm snap ,luk's / 404,side entry,8,color,none,none,none,none,none
24,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
25,shockcord,xxx,hood,1,color,none,none,none,none,none
28,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
32,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
33,seams,10-12 spi,30/2,none,match to shell,none,none,none,none,none
34,topstitch,8-10 spi,30/2,none,match to shell,none,none,none,none,none
35,bartacks,none,100/2,none,match to shell,none,none,none,none,none
37,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
38,main label,none,center back below neck seam,1,none,none,none,none,none,none
41,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
42,main hang tag,none,left hand pocket zipper,1,none,none,none,none,none,none
46,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
47,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
48,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
49,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
