,0,1,2,3,4,5,6,7,8,9
0,nitro womens jacket,none,none,none,none,sample size small / xs-l,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-107,none,none,date created:,none,2017-03-16 00:00:00,none,none
3,style name:,none,crush packable,none,none,date revised:,none,2016-07-11 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,0,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,0,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9,#5 aquaguard coil zipper with matte transparent film (5cnt10),ykk / dalh/dag 2-way semi auto locking,center front,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
10,#5 coil zipper,non ykk / dfw short 1-way non locking,arm pocket,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
11,#5 coil zipper,non ykk / dfw short 1-way non locking,left hand pocket vertical,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
12,#5 coil zipper,non ykk / dfw short 1-way non locking with double sided zipper pull,right  hand pocket vertical,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
16,nitro custom pull / n14-trim-139,knk / 3738,arm pocket,1,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
19,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
20,"nitro trim number: n18-trim-009
nitro speech bubble 
heat transfer 3cm x 3cm",sealon,"left sleeve hem, 3"" up from cuff, centered over sleeve fold",1,color,none,none,none,none,none
21,"nitro trim number: n18-trim-010
nitro text
reflective heat transfer",sealon,back right,1,color,none,none,none,none,none
25,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
26,8mm metal eyelet,luk's / et04,hood adjust,2 per side = 4,color,none,none,none,none,none
27,cord lock,none,hood adjust,1 per side = 2,color,none,none,none,none,none
28,bead,none,hood adjust,1 per side = 2,color,none,none,none,none,none
29,8mm metal eyelet,luk's / et04,hem adjust (right side),2,color,none,none,none,none,none
30,cord lock,none,hem adjust (right side),1,color,none,none,none,none,none
31,bead,none,hem adjust (right side),1,color,none,none,none,none,none
32,keyclip,none,right hand pocket,1,color,none,none,none,none,none
34,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
35,"grosgrain 1/4""",none,hood adjust,1 per side = 2,color,none,none,none,none,none
36,shockcord,none,hood adjust,1,color,none,none,none,none,none
37,"grosgrain 3/8""",none,hem adjust (right side),1,color,none,none,none,none,none
38,shockcord,none,hem adjust (right side),1,color,none,none,none,none,none
39,"grosgrain 1/4""",none,attach keyclip right hand pocket,1,color,none,none,none,none,none
41,bonding film,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
42,bonding film,none,hood brim,1,none,none,none,none,none,none
43,bonding film,none,sleeve pocket welt,1,none,none,none,none,none,none
44,bonding film,none,cuff tabs,2,none,none,none,none,none,none
46,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
47,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,none,none,none,none,none
48,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,none,none,none,none,none
50,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
51,seams,10-12 spi,30/2,none,match to shell,none,none,none,none,none
52,topstitch,8-10 spi,30/2,none,match to shell,none,none,none,none,none
53,bartacks,none,100/2,none,match to shell,none,none,none,none,none
55,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
56,main label,none,center back below neck seam,1,none,none,none,none,none,none
59,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
60,main hang tag,none,left hand pocket zipper,1,none,none,none,none,none,none
61,none,none,none,1,none,none,none,none,none,none
64,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
65,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
66,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
67,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
