,0,1,2,3,4,5,6,7,8
0,airblaster,none,none,none,none,style number: ab19mp4_037,none,none,none
1,none,none,none,none,none,designer: jg,none,none,none
2,none,none,none,none,none,season: winter 2018/19,none,none,none
3,none,none,insulation,none,none,collection: freedom series,none,none,none
4,style name:,none,seam sealing,"critically taped: front/back rise, back yoke",none,vendor:  soluna,none,none,none
5, pretty tight pant,none,mm rating,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none
8,none,updated 2.14.17,none,none,none,color #1,color #2,color #3,color #4
9,none,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,none,none,none,none,fabrics & linings,none,none,none,none
11,a,shell fabric,sotd109-c1-y 10k/8k 10k/8k +2-layer +breathable coating+dwr,main body,none,tbd,tbd,tbd,tbd
12,b,lining,210t-e terry emboss taffeta   (supplied by ecoya),"inside lining, lower leg gaiters",none,tbd,tbd,tbd,tbd
13,c,lining, velvety tricot - soto048-1 (supplied by solis),"inside waistband, handwarmer pocket bag front panel only, and inside fly panel",none,tbd,tbd,tbd,tbd
14,d,other,nylon/elastic lycra - sono029-1 (supplied by solis),"lower leg gators, internal crotch gusset",none,black,black,black,black
16,none,none,none,none,zippers,none,none,none,none
17,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,tbd,tbd,tbd,tbd
18,bb,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",back pockets,2,tbd,tbd,tbd,tbd
19,cc,zipper,"ykk no.3 nylon reverse coil, auto-lock slider da8lh1 (zippers close from c.b. to side seam)",phone pocket,1,tbd,tbd,tbd,tbd
20,dd,zipper pull,abzp_01 utility cord pulls (supplied by wei rong),back pockets (2),2,tbd,tbd,tbd,tbd
22,none,none,none,none,trims,none,none,none,none
23,ee,hardware,"abjbt_01 jean button (16.3mm) ('air blaster' deboss logo), incl. washer",at c.f. closure.,1,tbd,tbd,tbd,tbd
24,ff,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",bang snaps (2),2,tbd,tbd,tbd,tbd
25,gg,hardware,12mm metal eyelet  (incl. washers),front waistband 10cm each side of center front (2),2,tbd,tbd,tbd,tbd
26,hh,hardware,abel_01 (incl. washers),left belt loop (1),1,tbd,tbd,tbd,tbd
27,ii,hardware,metal lace hook,2 pcs at bottom leg openings.  place at cf of each leg opening.,2,black oxidized,black oxidized,black oxidized,black oxidized
28,jj,drawcord,polyester flat lace drawcord with metal sealed ends.  w:1 cm,waistband,1,tbd,tbd,tbd,tbd
29,kk,elastic,gripper elastic,at inside lower leg gators,2,black,black,black,black
30,ll,main label,tbd,"inside c.b. waist, see q/a for detail",1,tbd,tbd,tbd,tbd
31,mm,size label,abwv_69v vietnam size label,sewn in and centered below main label,1,tbd,tbd,tbd,tbd
32,nn,w/c label,satin/printed w/c label   (supplied by your side),"at inside wearers left, 8 cm from waistband seam",1,black,black,black,black
33,oo,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd
34,pp,branding,tbd,"hammer pocket, see placement page for detail",1,tbd,tbd,tbd,tbd
36,none,none,none,none,packaging/hang tags(bulk only),none,none,none,none
38,qq,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
39,rr,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
40,ss,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
41,tt,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
42,uu,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
44,special instructions:,none,none,none,none,none,none,none,none
45,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none
46,2,stitches per inch:,8-10,none,none,none,none,none,none
47,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none
48,4,bartack:,at stress points,none,none,none,none,none,none
49,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none
50,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none
51,7,hang tag:,should have the above noted hang tags,none,none,none,none,none,none
52,8,needle type:,ball point,none,none,none,none,none,none
53,9,poly bag:,1 garment per bag in airpill logo'd poly bag; upc sticker on outside ,none,none,none,none,none,none
54,10,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none
