,label,material/trim,description,location,qty,tbd,tbd,tbd,tbd
10,a,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),main body,none,tbd,tbd,tbd,tbd
11,b,shell fabric,sotp069-c1-h 100% polyester 15k/10k dwr+breathable coating (supplied by solis),"knee patches, back pocket",none,tbd,tbd,tbd,tbd
12,c,lining,210t-e emb07 terry emboss taffeta - (supplied by ecoya),inside lining,none,tbd,tbd,tbd,tbd
13,d,other , velvety tricot - soto048-1 (supplied by solis), inner front pockets,none,tbd,tbd,tbd,tbd
14,e,other,100% poly mesh - sotc025-1 (supplied by solis),vents,none,tbd,tbd,tbd,tbd
15,f,other,nylon/elastic lycra - sono029-1 (supplied by solis),"leg gaiters, ",none,tbd,tbd,tbd,tbd
16,g,interfacing,1025h,internal storm flap,none,white,white,white,white
18,aa,zipper,"ykk no.5 nylon coil zippers, auto-lock slider da8lh",fly,1,tbd,tbd,tbd,tbd
19,bb,zipper,"ykk no.5 nylon coil zippers,hidden chain, auto-lock slider da8lh1 (close down)", vents,2,tbd,tbd,tbd,tbd
20,cc,zipper,"ykk no.5 nylon coil ,  zipper,auto lock slider da8lh1  (zip closes down)",(2) hand warmer pockets at lower body ,2,tbd,tbd,tbd,tbd
21,dd,zipper,"ykk no.5 nylon coil ,  zipper,auto lock slider da8lh1  ",back pockets zipper closes to side seam,1,tbd,tbd,tbd,tbd
22,ee,zipper pull,abzp_01 utility cord zipper pullers with tied end,"(2) vents, (3) pockets, ",5,tbd,tbd,tbd,tbd
24,ff,velcro,hook w: 1.6cm x h: 18 cm,at side seam (2),2,tbd,tbd,tbd,tbd
25,gg,velcro,loop w: 1.6cm x h: 18 cm,at side seam (4),4,tbd,tbd,tbd,tbd
26,hh,hardware,lace hooks,c.f. of lower leg gaiters at gripper elastic,2,black oxidized,black oxidized,black oxidized,black oxidized
27,ii,hardware,"snap buttons absnp_01 (sets), 17 mm incl washers",(4) back side seam (2)chest pocket flap,6,tbd,tbd,tbd,tbd
28,jj,buckle,tbd,strap attachment,2,black,black,black,black
29,kk,key clip,plastic key clip attched with 8mm  width webbing loop,inside w. right lower body handwarmer pocket,1,black,black,black,black
30,ll,plastic d-ring,"h301- 1.5"" plastic d-ring",top of front bib,2,black,black,black,black
31,mm,buckle,goggle strap adjuster,shoulder straps,2 pcs,black,black,black,black
32,nn,strap holder,plastic back strap holder,back shoulder straps,1,black,black,black,black
33,oo,elastic,goggle strap elastic: 3.5cm width,shoulder straps,2 pcs,black,black,black,black
34,pp,elastic,gripper elastic,at lower leg gaiters,2,black,black,black,black
35,qq,webbing,8mm  width webbing,key clip attachment,1,black,black,black,black
36,rr,main label,tbd,11cm below cb neck,1,tbd,tbd,tbd,tbd
37,ss,size label,abwv_69 size label,sewn in and centered below abwv_107 or abpa_70,1,tbd,tbd,tbd,tbd
38,tt,w/c label/content,w/c label satin with print (as used on 12/13  bulk),"sewn in at wearers inside left side seam, 10 cm up from waistband zipper seam.",1,black,black,black,black
39,uu,branding,tbd,tbd,1,tbd,tbd,tbd,tbd
40,vv,branding,tbd,tbd,1,,,,
41,ww,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back waist seam,1,tbd,tbd,tbd,tbd
43,xx,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
44,yy,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd
45,zz,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,black,black,black,black
46,aaa,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,white,white,white,white
47,bbb,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,white,white,white,white
