,label,material/trim,description,location,qty,black,olive night,oxblood,sea pine
10,a,shell fabric,sota074-r01 100% polyester  cire coating,"main body, sleeves, pockets",none,black,olive night,oxblood,sea pine
11,c,other,"1x1 rib knit,good quality arcylic/spandex","cuffs, collar",none,black,black,black,black
12,d,lining,210t taffeta 100% nylon emb07 terry emboss supplied by ecoya,inside lininglower pocket bag,none,black,old gold,old gold,black
14,f,pellon,lightweight interfacing (item# tbd), collar,none,white,white,white,white
16,aa,zipper,"ykk no.5 metalux vislon zipper,auto-lock sliders da8lh, right hand puller,left hand insert ",c.f.,1,black tape with vymj matte black teeth,olive night 173 tape with vymj matte black teeth,oxblood 097 tape with vymj matte black teeth,sea pine 320 tape with vymj matte black teeth
18,dd,hardware,"snap buttons absnp_01 (sets), 17mm  (incl. washers)",(2) pockets,2,bz black copper,bz black copper,bz black copper,bz black copper
19,ee,main label,tbd,centered 1.5cm below cb neck,1,black/moonbeam,black/moonbeam,black/moonbeam,black/moonbeam
20,ff,size label,abwv_207 made in vietnam woven label,sewn in and centered below abwv_84,1,black/neutral gray,black/neutral gray,black/neutral gray,black/neutral gray
21,gg,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black
22,hh,loop label,abwvlp_205 loop label,inside center back neck seam,1,black,black,black,black
23,ii,woven label,tbd,tbd,1,tbd,tbd,tbd,tbd
24,jj,woven label,tbd,tbd,1,tbd,tbd,tbd,tbd
27,kk,hangtag,aquapel hangtag,cf zipper,1,black/white,black/white,black/white,black/white
28,ll,hangtag,tbd,tbd,1,black/white,black/white,black/white,black/white
29,mm,polybag w/ warning matter,airpill logo print:  16 cm,tbd,1,tbd,tbd,tbd,tbd
30,nn,country of origin sticker (supplied by your side),made in china sticker,tbd,1,tbd,tbd,tbd,tbd
31,oo,upc sticker (supplied by your side),sticker width 3.5 cm,tbd,1,tbd,tbd,tbd,tbd
