,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-101-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,alpha 3l 37.5,none,date revised: ,none,none,none,none
4,none,fabric rating: ,none,20k/ 20k,none,block: ,none,l1-103-16_sutton,none,none
5,none,seam sealing: ,none,fully 37.5 taped,none,fit: ,none,regular,none,none
6,none,insulation: ,none,non insulated,none,target fob: ,none,68,none,none
7,none,sample size: ,none,mens large,none,none,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,none,none,none
11,a,wnp121-bj4sr4 3l $7.40,wide plus,none,none,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
15,non insulated,none,none,none,non insulated,none,none,none,none,none
17,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
18,fully 37.5 taped,width...seam tape,37.5,none,fully 37.5 taped,none,none,none,none,none
20,bonding film,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
21,"hood brim, cf placket, cuff tabs, pocket flaps and openings, back hood flap",glue film,sealon / ,none,yes,none,none,none,none,none
23,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
24,"hood,  sleeves, chest and arm pocket bag",solid 210d,solis / ref number,none,none,none,none,none,none,none
25,front and back panels,printed 210t,solis / ref number,none,none,none,none,none,none,none
26,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none,none,none,none
27,chin,rentex,solis / ref number,none,none,none,none,none,none,none
28,underam vents,regular mesh,solis / ref number,none,none,none,none,none,none,none
29,goggle pocket,power stretch mesh,solis / ref number,none,none,none,none,none,none,none
30,hand pocket lining,brushed tricot,none,none,none,none,none,none,none,none
31,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none,none,none,none
