,0,1,2,3,4,5,6,7,8,9
0,l1 mens jacket,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-103-18,none,none,date created:,none,2017-02-28 00:00:00,none,none
3,style name:,none,grimey,none,none,date revised:,none,2017-04-07 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-104-15 grimey,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,long,none,none
6,insulation:,none,pinneco mantle 80g all over,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,black,military,walnut,none,none,none
10,micro twill,"solis / sott023-2l2-i micro twill 10k/10k
",a,none,black,military,walnut,none,none,none
11,ribbing,leader collar/ as last year production,sleeve cuffs,none,black,military,walnut,none,none,none
13,insulation,supplier/ reference number,location ,content,black,military,walnut,0,0,0
14,polyfill insulation ,pinneco mantle 80g ,all over,100% polyester,pinneco mantle 80g ,pinneco mantle 80g ,pinneco mantle 80g ,none,none,none
16,seam tape,supplier/ reference number,location ,content,black,military,walnut,0,0,0
17,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,none,none,none
19,lining,supplier/ reference number,location ,content,black,military,walnut,0,0,0
20,blanket lining,solis / soty066-d blanket lining / brush / no dwr,hood,none,blanket lining,blanket lining,blanket lining,none,none,none
21,blanket lining,solis / soty066-d blanket lining / brush / no dwr,main body,none,blanket lining,blanket lining,blanket lining,none,none,none
22,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,none,none,none
23,solid 210t ,solis / sonp006-1,sleeve pocket bag,100% nylon,black,black,black,none,none,none
24,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,none,none,none
25,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,none,none,none
26,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,none,none,none
27,regular mesh,1606b02 (als-16038),underarm vents,100% polyester,black,black,black,none,none,none
28,regular mesh,1606b02 (als-16038),goggle pocket,100% polyester,black,black,black,none,none,none
29,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,none,none,none
