,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-104-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,legacy,none,date revised: ,none,none,none,none
4,none,fabric rating: ,none,10k/ 10k,none,block: ,none,l1-104_16_legacy,none,none
5,none,seam sealing: ,none,critically taped,none,fit: ,none,regular,none,none
6,none,insulation: ,none,"60g body, 40g hood and sleeves ""cs"" polyfill ",none,target fob: ,none,47,none,none
7,none,sample size: ,none,mens large,none,none,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,none,none,none
11,a,oxford no washout 5k/5k coating + c6 dwr 80/10 $4.00,solis l2-584,100% poly,none,none,none,none,none,none
12,b,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,100% poly,none,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
15,"40g ""cs"" polyfill hood and sleeves",none,polyfill,none,"40g ""cs"" polyfill hood and sleeves",none,none,none,none,none
16,"60g ""cs"" polyfill body",none,polyfill,none,"60g ""cs"" polyfill body",none,none,none,none,none
18,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
19,critically taped,width...seam tape,sealon,none,critically taped,none,none,none,none,none
21,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3,0,0,0
22,"hood,  sleeves, front panels, pocket bags",solid 210d,solis / ref number,none,none,none,none,none,none,none
23,back panel,printed 210t,solis / ref number,none,none,none,none,none,none,none
24,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none,none,none,none
25,chin,brushed tricot,solis / ref number,none,none,none,none,none,none,none
26,goggle pocket & underam vents,regular mesh,solis / ref number,none,none,none,none,none,none,none
27,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none,none,none,none
