,0,1,2,3,4,5,6,7,8,9
0,l1 mens jacket,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-104-18,none,none,date created:,none,2017-02-27 00:00:00,none,none
3,style name:,none,legacy,none,none,date revised:,none,2017-04-07 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-104-17 legacy,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,regular,none,none
6,insulation:,none,"40g pinneco mantle hood & sleeves, 60g body",none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,none,none
10,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",a,none,rust  ,ink  ,black,vintage camo broken twill,none,none
11,oxford,"solis/ oxford l2-581 / 10k/10k, c6 + dwr",b,none,black,gunmetal,black,x,none,none
12,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",b,none,x,x,x,vintage camo broken twill,none,none
14,insulation,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
15,polyfill insulation ,pinneco mantle 40g ,hood and sleeves,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,none,none
16,polyfill insulation ,pinneco mantle 60g ,body,100% polyester,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g ,none,none
18,seam tape,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
19,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped,none,none
21,lining,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
22,solid 210t ,solis / sonp006-1,hood,100% polyester,black,black,black,black,none,none
23,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,x,none,none
24,solid satin,lucky / solid satin lining ltc36838-x-p1847,main body,100% polyester,x,x,x,black,none,none
25,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black,none,none
26,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black,none,none
27,solid 210t ,solis / sonp006-1,top entry hand pocket bags,100% nylon,black,black,black,black,none,none
28,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black,none,none
29,brushed tricot,supplier / ref code,side entry hand pocket bags,100% polyester,black,black,black,black,none,none
30,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black,none,none
31,regular mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black,none,none
32,regular mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black,none,none
33,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black,none,none
