,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-106-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,hastings,none,date revised: ,none,2016-07-29 00:00:00,none,none
4,none,fabric rating: ,none,10k/ 10k,none,block: ,none,0,none,none
5,none,seam sealing: ,none,criticallytaped,none,fit: ,none,regular,none,none
6,none,sample size: ,none,mens large,none,target fob: ,none,43,none,none
8,zippers,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
9,center front,#5 coil,ykk za snap on // 1-way seperating semi auto lock ,1,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,none,none
10,hand pockets,#5 coil,dadhr diecast wire (non ykk) auto non lock ,1 per side = 2,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,silder/pull color: pseudo anti silver / teeth and tape color: black,none,none
12,zipper pulls,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
13,center front,l1 snap on metal zipper pull,shenzhen guan hong metal zipper co.  / l1-2016-trim-009 ,1,pseudo anti silver ,pseudo anti silver ,pseudo anti silver ,pseudo anti silver ,none,none
14,hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,shell fabric matching,shell fabric matching,shell fabric matching,none,none
15,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,shell fabric matching,shell fabric matching,shell fabric matching,none,none
17,l1 branded trims,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
18,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,dtm,dtm,dtm,none,none
19,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,dtm,dtm,dtm,none,none
20,lower body,l1 snap,luks / l1-2016-trim-002,2,pseudo anti silver/black,pseudo anti silver/black,pseudo anti silver/black,pseudo anti silver/black,none,none
21,left chest,l1 faux leather triangle patch,yiqing shoe factory / l1-2017-trim-102,1,black,black,black,black,none,none
23,snaps,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
24,cf powder skirt closure,14 mm plastic snap 24l metal snap,duraflex / 1414,"4 male, 2 female",matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,none,none
25,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap 24l metal snap,duraflex / 1414,3 sets,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,none,none
26,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap 24l metal snap,duraflex / 1414,"1 male, 1 female",matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,matte black cap/ pseudo anti silver base,none,none
28,cord locks,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
29,hem hood cord lock,cord lock,knk / sp-177,1 per side = 2,black,black,black,black,none,none
30,hem cord lock tip,cord tip bead,knk / cs-074 zp20,1 per side = 2,black,black,black,black,none,none
32,grommets,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
33,hem adjust cord exit,small: grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,pseudo anti silver ,pseudo anti silver ,pseudo anti silver ,none,none
35,shockcord & drawcord,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
36,hem ,3mm stretch shockcord,suppler / ref nuber,none,black,black,black,black,none,none
37,hood,8mm round woven drawcord,sunsun / sv160218-1 a,none,black,19-4006 tpx black,16-0906 tpx sand,18-0950tpx  harvest,none,none
39,webbing ,item,supplier/ ref number,amount,black,camo,sand / dark slate,harvest / raven,0,0
40,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,black,black,black,none,none
41,hem cord lock tie downs,"3/8"" flat webbing loop",suppler / ref nuber,1 per side = 2,black,black,black,black,none,none
