,0,1,2,3,4,5,6,7,8,9
0,brand mens jacket,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-108-18 ,none,none,date created:,none,2017-02-28 00:00:00,none,none
3,style name:,none,taxwood jacket,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,20k/20k,none,none,block:,none,fit block is as per the l1-111-18 stooge,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
9, #5 reverse coil matte water resistant,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull color: x6 black oxides zipper tape color: matte black,slider/pull color: x6 black oxides zipper tape color: matte black,slider/pull color: x6 black oxides zipper tape color: matte black,none,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,none,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,slider/pull color: x6 black oxides zipper teeth/ tape color: black,none,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
14,"l1-2018-trim-017
l1 zipper pull",ykk,non insulated,top and bottom pull = 2,x6 black oxides ,x6 black oxides ,x6 black oxides ,none,none,none
15,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,hand pockets,2,black faux leather,black faux leather,black faux leather,none,none,none
16, 11nt-045 / self fabric pull ,factory made,under arm vents,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
18,branded trims,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
19,"l1-2018-trim-016
silicon chest print",soluna,front left chest,1,pantone 16-5807 tcx silt tonal silicon ,pantone 18-0513 tcx walnut  tonal silicon ,pantone 19-4006 tcx black tonal silicon ,none,none,none
20,"l1-2018-trim-012
heat transfer label ",please source: same supplier as other faux leather trims,front right hem,1,black/gold,black/gold,black/gold,none,none,none
21,"l1-2018-trim-014
l1 sleeve injection mold logo.
2mm embossed effect. 2.62 cm x 2.6 cm",soluna,front left sleeve hem,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,none,none,none
22,"l1-2018-trim-015
l1 shoulder injection mold logo.
2mm embossed effect. 3.3 cm x 3.3 cm",soluna,back right,1,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,2 mm emboss of the shell fabric,none,none,none
25,trims,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
26,metal eyelets 8mm,luk's / et04,hood cord exit front,2 per side = 4,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none,none,none
27,metal eyelets 8mm,luk's / et04,hem cord exit,2 per side = 4,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none,none,none
28,metal eyelets 11mm,luk's / et89,hood cord exit back,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none,none,none
29,cord lock: small cord lock with tie down,sun sun/ sv160824-2a,front hood adjust,1 per side = 2,matte black,matte black,matte black,none,none,none
30,cord lock,sv160819-4a,back hood adjust exposed at lining,1,matte black,matte black,matte black,none,none,none
31,cord lock,sv160819-4a,hem adjust exposed at lining,1 per side = 2,matte black,matte black,matte black,none,none,none
32,bead,sunsun/ sv160725-1a,back hood adjust,1,matte black,matte black,matte black,none,none,none
33,bead,sunsun/ sv160725-1a,hem adjust,1 per side = 2,matte black,matte black,matte black,none,none,none
34,keyclip,as production,right hand pocket,1,black,black,black,none,none,none
36,notions,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
37,"grosgrain 1/4""",none,attach front hood cord lock,1 per side = 2,black,black,black,none,none,none
38,"grosgrain 3/8""",none,attach back hood cord lock,1 per side = 2,black,black,black,none,none,none
39,"grosgrain 3/8""",none,attach hem cord lock,1 per side = 2,black,black,black,none,none,none
40,"grosgrain 1/4""",none,attach keyclip right hand pocket ,1,black,black,black,none,none,none
41,elastic ,none,back of sleeve cuffs,1,available,available,available,none,none,none
42,"elastic 1/4""",none,lining cable gulide,1,black,black,black,none,none,none
43,elastine,none,lining cord exit - welts,none,black,black,black,none,none,none
44,l1-2018-trim-030 2-color shockcord 3.5mm (heathered 2 color mix) ,"example: cw15-065
chun wo ho (please source)",hood & hem,2,"colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ","colorway 1
pantone 19-4006 tcx black
pantone 18-0403 tcx gunmetal ",none,none,none
46,bonding film,supplier/ reference number,location,amount,black,forest ,walnut,0,0,0
47,bonding film,none,hood brim,1,bonding film,bonding film,bonding film,none,none,none
48,bonding film,none,back hood adjust welt,1,bonding film,bonding film,bonding film,none,none,none
49,bonding film,none,hand pocket welts,1 per side = 2,bonding film,bonding film,bonding film,none,none,none
50,bonding film,none,cuff tabs,1 per side = 2,bonding film,bonding film,bonding film,none,none,none
52,velcro,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
53,"1"" x 3 3/4"" velcro with rounded corners",paiho / loop#1057,cuff on body,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
54,"1"" x 2 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
56,thread,spi,supplier/ ref number,amount,silt,walnut,black,0,0,0
57,seams,10-12 spi,30/2,none,match to shell,match to shell,match to shell,none,none,none
58,topstitch,8-10 spi,30/2,none,match to shell,match to shell,match to shell,none,none,none
59,bartacks,none,100/2,none,match to shell,match to shell,match to shell,none,none,none
60,sleeve gaiter cover stitch,must be stretch thread,none,none,match to shell,match to shell,match to shell,none,none,none
62,labels ,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
63,20k/20k fully taped,soluna/ main label,center back below neck seam,1,20k/20k fully taped,20k/20k fully taped,20k/20k fully taped,none,none,none
64,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl","xs, s, m, l, xl",none,none,none
66,hang tags,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
67,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,mens jacket hang tag,mens jacket hang tag,none,none,none
70,care and content labels,supplier/ reference number,location,amount,silt,walnut,black,0,0,0
71,address label,factory sourced,lining left side seam,1,address label,address label,address label,none,none,none
72,content label,factory sourced,lining left side seam,1,content label,content label,content label,none,none,none
73,washing label,factory sourced,lining left side seam,1,washing label,washing label,washing label,none,none,none
