,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-109-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,stooge,none,date revised: ,none,2016-07-26 00:00:00,none,none
4,none,fabric rating: ,none,5k/5k,none,block: ,none,l1-109-16  og stooge       ,none,none
5,none,seam sealing: ,none,critically taped,none,fit: ,none,street,none,none
6,none,insulation: ,none,"40g ""cs"" polyfill",none,target fob: ,none,27,none,none
7,none,sample size: ,none,mens large,none,none,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,dark slate,raven,none,none,none,none
11,body,"cotton touch nylon 5k 5k coating + c6 w/r, $3.95 5k/5k",solis/ sonp020-cc01-m,100% nylon,dark slate,raven,none,none,none,none
12,cuff ribbing,1 x 1 polyester  ribbing ,none,none,slate/ dark slate 19-4220 tpx,raven 19-0000 tpx use 19-4006 tpx black,none,none,none,none
14,insulation,item,supplier/ ref number,content,dark slate,raven,0,0,0,0
15,"40g ""cs"" polyfill all over",none,none,none,"40g ""cs"" polyfill all over","40g ""cs"" polyfill all over",none,none,none,none
17,seam tape,item,supplier/ ref number,content,dark slate,raven,0,0,0,0
18,critically taped,none,tsgs,none,critically taped,critically taped,none,none,none,none
20,lining,item,supplier/ ref number,content,dark slate,raven,0,0,0,0
21,body,solid quilted satin,solis / ref number,none,pearl,pearl,none,none,none,none
22,"sleeves, hand pocket lining",solid satin,solis / ref number,none,pearl,pearl,none,none,none,none
