,0,1,2,3,4,5,6,7,8,9
0,l1 mens jacket,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-111-18,none,none,date created:,none,2017-02-22 00:00:00,none,none
3,style name:,none,stooge,none,none,date revised:,none,2017-04-06 00:00:00,none,none
4,waterproof/breathability:,none,5k/5k,none,none,block:,none,l1-111-17_stooge_bulk,none,none
5,seam sealing:,none,not seam sealed,none,none,fit:,none,street,none,none
6,insulation:,none,pinneco mantle 40g insulation all over,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,vintage camo broken twill,black,none,none,none,none
10,broken twill,"solis/ wl248 broken twill, 10k/10k",a,none,vintage camo broken twill,x,none,none,none,none
11,cotton touch,solis/ cotton touch sonp020-cc01-m +c6 + dwr 5k/5k,a,none,x,black,none,none,none,none
13,insulation,supplier/ reference number,location ,content,vintage camo broken twill,black,0,0,0,0
14,polyfill insulation ,pinneco mantle 40g ,all over,100% polyester,40g,40g,none,none,none,none
16,seam tape,supplier/ reference number,location ,content,vintage camo broken twill,black,0,0,0,0
17,no seam tape on this style,none,none,none,no seam tape on this style,no seam tape on this style,none,none,none,none
19,lining,supplier/ reference number,location ,content,vintage camo broken twill,black,0,0,0,0
20,quilted satin,solis / pr258,body,100% polyester,pantone 18-0950 tpx harvest,pantone 18-0950 tpx harvest,none,none,none,none
21,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,none,none,none,none
22,solid 210t ,solis / sonp006-1,hand pocket bags,100% nylon,black,black,none,none,none,none
