,0,1,2,3,4,5,6,7,8,9
0,l1 mens jacket,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-113-18,none,none,date created:,none,"feb. 28, 2017",none,none
3,style name:,none,kensington,none,none,date revised:,none,2017-04-06 00:00:00,none,none
4,waterproof/breathability:,none,dwr,none,none,block:,none,new,none,none
5,seam sealing:,none,none,none,none,fit:,none,street,none,none
6,insulation:,none,100g pinneco mantle all over,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood,none,none,none,none
10,micro ripstop,solis / sotl120 micro ripstop c6 dwr,a,none,gunmetal,black,none,none,none,none
12,insulation,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood,0,0,0,0
13,polyfill insulation ,pinneco mantle 100g,all over,100% polyester,pinneco mantle 100g,pinneco mantle 100g,none,none,none,none
15,seam tape,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood,0,0,0,0
16,not taped,none,none,none,not taped,not taped,none,none,none,none
18,lining,supplier/ reference number,location ,content,gunmetal / bombay,black / oxblood,0,0,0,0
19,solid 210t ,solis / sonp006-1,main body,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx ,none,none,none,none
20,solid 210t ,solis / sonp006-1,sleeves,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx ,none,none,none,none
21,solid 210t ,solis / sonp006-1,chest pocket bag,100% nylon,bombay 18-1250 tcx ,oxblood 19-1725 tcx ,none,none,none,none
22,solid 210t ,solis / sonp006-1,hand pocket bags,100% polyester,bombay 18-1250 tcx ,oxblood 19-1725 tcx ,none,none,none,none
23,solid 210t ,solis / sonp006-1,chin guard lining,100% polyester,bombay 18-1250 tcx ,oxblood 19-1725 tcx ,none,none,none,none
