,0,1,2,3,4,5,6,7,8,9
0,l1 mens pant,none,none,none,none,none,none,sample size large / xs-xxl,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-202-18 ,none,none,date created:,none,2017-03-14 00:00:00,none,none
3,style name:,none,overall,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-202-16 overall paper pattern,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular fit,none,none
6,insulation:,none,shell,none,none,target fob:,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric ,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,none
11,oxford,solis /  oxford l2-581 / 10k/10k / c6 + dwr,a,none,black,ink,bone,soil,x,none
12,broken twill,solis/  wl248 broken twill/ / 10k/10k / c6 + dwr,a,none,x,x,x,x,vintage camo broken twill,none
13,leather,suppler same quality as other faux leather trims,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
15,insulation,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
16,non insulated,none,none,none,none,none,none,none,none,none
18,seam tape,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
19,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped,fully taped,none
21,lining,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
22,solid 210t ,solis / sonp006-1,bib and leg,100% nylon,black,black,black,black,black,none
23,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black,none
24,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black,none
25,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black,none
26,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black,none
28,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
29,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,none
