,0,1,2,3,4,5,6,7,8,9
0,none,l1 pant,none,none,none,none,none,none,none,none
1,none,season:,none,winter 2017/2018,none,contractor:,none,soluna,none,none
2,none,style number:,none,l1-203-17,none,date created:,none,2016-02-14 00:00:00,none,none
3,none,style name:,none,americana pant,none,date revised:,none,none,none,none
4,none,waterproof/breathability:,none,marked as: 10k/10k,none,block:,none,l1-202-16 americana reference sample,none,none
5,none,seam sealining:,none,fully taped,none,fit:,none,regular fit,none,none
6,none,insulation:,none,40g knees and seat,none,target fob:,none,39,none,none
10,none,none,none,none,colorways,none,none,none,none,none
11,shell fabric,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
12,all shell is same fabric, oxford ,solis l2-581,100% polyestr,black,none,none,none,none,none
14,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
15,knees & seat,40 g polyfill,"""cs"" type",100% polyestr,40 g knees & seat,none,none,none,none,none
17,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
18,fully taped,width...seam tape,sealon,none,fully taped,none,none,none,none,none
20,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
21,main body & back pocket lining,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
22,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
23,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
24,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
25,"""balls out"" venting",a 101 mesh,please sorce,100% poly,black,none,none,none,none,none
