,0,1,2,3,4,5,6,7,8,9
0,l1 mens pant,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-209-18,none,none,date created:,none,2017-03-13 00:00:00,none,none
3,style name:,none,slim cargo,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1-203-16 slim chino paper pattern,none,none
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,slim chino,none,none
6,insulation:,none,non insulated,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,rust,black,ink,military,0,0
9, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,none,none
10, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hand pockets,1 per side = 2,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,none,none
11, #5 coil zipper,non ykk / 2-way non locking / dadhr diecast wire (zip down to close),balls out venting,1,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,none,none
12, #5 coil zipper,non ykk / 1-way non locking / dadhr diecast wire,hem gusset ,1 per side = 2,silder/pull color: h6 antique silver zipper tape color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,silder/pull color: x antique copper zipper tape &teeth color: black,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,rust,black,ink,military,0,0
15,l1-2018-trim-018 / non branded zipper pull faux leather quality to match trims leather piece = 4 cm x 0.6 cm ,please source: same supplier as other faux leather trims,front and back hand pockets,4,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
16, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
18,branded trims,supplier/ reference number,location,amount,rust,black,ink,military,0,0
19,"l1-2018-trim-022
l1 19mm shank",luks,front waist band,1,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none,none
20,"l1-2018-trim-009
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm ",luks,cargo (2) back (2) pocket flaps,4,x,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
21,"l1-2018-trim-009
freedom snap  / artwork debossed 1mm. 1.7 cm x 1.7cm ",luks,cargo (2) back (2) pocket flaps,4,sas46 pseudo anti silver,x,x,x,none,none
22,"l1-2018-trim-003
faux leather patch / artwork debossed 1mm 6.25 cm x 4.6 cm
brown leather",please source,front left cargo pocket,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
23,"l1-2018-trim-004
brown faux leather hem wrap / artwork debossed 1mm 5.7 cm x 2.87 cm",please source,back left pocket flap,1,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
24,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,brown leather,brown leather,brown leather,none,none
26,trims,supplier/ reference number,location,amount,rust,black,ink,military,0,0
27,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,sas46 pseudo anti silver,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
28,boot hook,xxx,front gaiter,1 per side = 2,sas46 pseudo anti silver,doxcp dull oxidized copper,doxcp dull oxidized copper,doxcp dull oxidized copper,none,none
29,keyclip,as production,right leg pocket,1,black,black,black,black,none,none
31,notions,supplier/ reference number,location,amount,rust,black,ink,military,0,0
32,self fabric tab 1x1,factory,front gaiter under boot hook,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
33,self fabric tab 1x1,factory,back gaiter under finger snap hem adjust,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
34,"grossgrain 1/4""",factory,attach key clip in right leg pocket,1,black,black,black,black,none,none
35,"grossgrain 1/4""",factory,balls out venting mesh guard,1,black,black,black,black,none,none
36,gripper elastic 25mm non logo,mtt0022,leg gaiters,2,black,black,black,black,none,none
37,"elastic 1"" ",factory,fast stash glove holder left cargo pocket,1,black,black,black,black,none,none
40,velcro,supplier/ reference number,location,amount,rust,black,ink,military,0,0
41," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",cargo pocket flaps (hidden),2 per flap = 4,match to shell,match to shell,match to shell,match to shell,none,none
42," 1/2"" x 1 1/2"" velcro with rounded corners","paiho / loop#1057, paiho / hooketn7",back pocket flaps (hidden),2 per flap = 4,match to shell,match to shell,match to shell,match to shell,none,none
44,thread,spi,supplier/ ref number,amount,rust,black,ink,military,0,0
45,"shell seams 1/4"" allowance ",12 spi (special allowance to avoid seam slip on shell  fabric),30/2,regular thread,matching,matching,matching,matching,none,none
46,seams,10-12 spi,30/2,regular thread,matching,matching,matching,matching,none,none
47,topstitch,8-10 spi,30/2,regular thread,matching,matching,matching,matching,none,none
48,denim weight topstitch,8-10 spi,none,heavy weight topstitch thread,matching,matching,matching,matching,none,none
49,bartacks,none,100/2,regular thread,matching,matching,matching,matching,none,none
51,labels ,supplier/ reference number,location,amount,rust,black,ink,military,0,0
52,10k/10k fully taped,soluna/ main label,inner front right,1,10k/10k fully taped,none,none,none,none,none
53,size label (sample size l),soluna/ size label,center back ,1,"xs, s, m, l, xl",none,none,none,none,none
55,hang tags,supplier/ reference number,location,amount,rust,black,ink,military,0,0
56,mens jacket hang tag,soluna/ mens jacket hang tag,left side hand pocket zipper,1,mens jacket hang tag,none,none,none,none,none
57,pant slim fit hang tag,soluna/ pant fit hang tag,left side hand pocket zipper,1,pant slim fit hang tag,none,none,none,none,none
59,care and content labels,supplier/ reference number,location,amount,rust,black,ink,military,0,0
60,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
61,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
62,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
