,0,1,2,3,4,5,6,7,8,9
0,brand mens pant,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1-211-18,none,none,date created:,none,2017-03-13 00:00:00,none,none
3,style name:,none,aftershock,none,none,date revised:,none,2017-04-05 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,0,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,regular straight leg,none,none
6,insulation:,none,"60g pinneco core or synthetic down, waist band 20g",none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,black,gunmetal,silt,walnut,0,0
9, #5 coil zipper,ykk / 1-way semi auto locking dalh,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,back pockets,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none
12, #5 coil zipper,non ykk / 2-way zip down to close dadhr die cast wire non locking,balls out venting,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,black,gunmetal,silt,walnut,0,0
15,"l1-2018-trim-018
non branded zipper pull. ",please source: same supplier as other faux leather trims,front and back hand pockets,4,black faux leather,black faux leather,black faux leather,black faux leather,none,none
16, 11nt-045 / self fabric pull ,factory made,balls out venting,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
18,branded trims,supplier/ reference number,location,amount,black,gunmetal,silt,walnut,0,0
19,"l1-2018-trim-010
leather backed snap",luks,waist band closure,1,"
pseudo anti silver sas54
black faux leather","
pseudo anti silver sas54
black faux leather","
pseudo anti silver sas54
black faux leather","
pseudo anti silver sas54
black faux leather",none,none
20,"l1-2018-trim-002
black faux leather patch",please source,front right thigh,1,"
black faux leather","
black faux leather","
black faux leather","
black faux leather",none,none
21,"1-2018-trim-007
large black faux leather hem wrap",please source,back right pocket welt,1,"
black faux leather","
black faux leather","
black faux leather","
black faux leather",none,none
22,"l1-2018-trim-031
large black faux leather belt end wrap",please source,hem wrap on end of waist belt,1,"
black faux leather","
black faux leather","
black faux leather","
black faux leather",none,none
23,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,match to shell,match to shell,match to shell,none,none
25,trims,supplier/ reference number,location,amount,black,gunmetal,silt,walnut,0,0
26,daddy buckle 30mm,supplier/ woojin,front waist band,1,black,black,black,black,none,none
27,15mm metal snap,luk's / 404,back gaiter/ pant hem,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none,none
28,boot hook,supplier,front gaiter,1 per side = 2,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,al023 alloy (d) ,none,none
