,0,1,2,3,4,5,6,7,8,9
0,l1ta womens jacket,none,none,none,none,sample size small / xs-l,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1ta-103-18,none,none,date created:,none,2017-03-02 00:00:00,none,none
3,style name:,none,fairbanks,none,none,date revised:,none,2017-04-12 00:00:00,none,none
4,waterproof/breathability:,none,10k/10k,none,none,block:,none,l1ta-103-17 fairbanks,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,0,none,none
6,insulation:,none,60g pinneco mantle + faux fur,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
9, #5 metal zipper  (special herringbone tape),ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,none
10, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,none
11, #5 metal zipper  (special herringbone tape),non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 16-5807 tcx silt,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-0515 tcx military,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: match color to ykk rl bright copper/ zipper tape color: 19-4006 tcx black,silder/ pull/ teeth color: ykk rl bright copper/ zipper tape color: 12-0105 tcx bone,none
13,additional zipper pulls,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
14,"""l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",ykk,center front,top and bottom pull = 2,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,ykk  rl bright copper,none
15,11nt-045 / self fabric pull,factory made,chest pocket vertical,1,silt shell fabric,military shell fabric,black shell fabric,vintage camo broken twill shell fabric,broken twill floral shell fabric,none
16,11nt-045 / self fabric pull,factory made,hand pockets vertical,1 per side = 2,silt shell fabric,military shell fabric,black shell fabric,vintage camo broken twill shell fabric,broken twill floral shell fabric,none
18,branded trims,supplier/ reference number,location,amount,silt,military,black,vintage camo broken twill,floral print broken twill,0
