,0,1,2,3,4,5,6,7,8,9
0,l1ta womens jacket,none,none,none,none,none,none,sample size small / xs-l,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1ta-107-18,none,none,date created:,none,2017-03-01 00:00:00,none,none
3,style name:,none,nightingale,none,none,date revised:,none,2017-04-04 00:00:00,none,none
4,waterproof/breathability:,none,5k/5k,none,none,block:,none,l1ta-107-17 moonage,none,none
5,seam sealing:,none,critically seam sealed,none,none,fit:,none,street long,none,none
6,insulation:,none,"60g ""pinneco core"" all over",none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,silt ,military,black,none,none,none
10,broken twill,"soluna/ sonp020-cc01-m
cotton touch, 5k/5k, c6+dwr",a,none,silt ,military,black,none,none,none
11,ribbing,leader collar as last year,"collar, sleeve hems",none,silt ,military,black,none,none,none
13,insulation,supplier/ reference number,location ,content,silt ,military,black,0,0,0
14,polyfill,60g pinneco core,all over,100% polyester,60g pinneco core,60g pinneco core,60g pinneco core,none,none,none
16,seam tape,supplier/ reference number,location ,content,silt ,military,black,0,0,0
17,not seam taped,tsgs,critically taped,none,critically taped,critically taped,critically taped,none,none,none
19,lining,supplier/ reference number,location ,content,silt ,military,black,0,0,0
20,printed satin,solis/ pr258 womens print,hood,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,none,none,none
21,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,black,none,none,none
22,solid 210t ,supplier / ref code,arm pocket bag,100% nylon,black,black,black,none,none,none
23,printed satin,solis/ pr258 womens print,hand pocket bags,100% polyester,solis/ pr258 womens print,solis/ pr258 womens print,solis/ pr258 womens print,none,none,none
24,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,none,none,none
