,0,1,2,3,4,5,6,7,8,9
0,l1 womens jacket,none,none,none,none,none,none,sample size small / xs-l,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,l1ta-108-18,none,none,date created:,none,2017-03-01 00:00:00,none,none
3,style name:,none,strange love flannel,none,none,date revised:,none,2017-03-29 00:00:00,none,none
4,waterproof/breathability:,none,dwr,none,none,block:,none,l1ta-108-17 bulk,none,none
5,seam sealing:,none,no seam taping,none,none,fit:,none,street,none,none
6,insulation:,none,pinneco mantle 40g all over,none,none,target fob:,none,none,none,none
8,none,none,none,none,colorways,none,none,none,none,none
9,shell fabric ,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink,none,none,none,none
10,broken twill,"solis/ sotw182-d
flannel / brush, c6+ dwr",a,100% polyester,silt / gunmetal,walnut / ink,none,none,none,none
12,insulation,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink,0,0,0,0
13,polyfill insulation ,pinneco mantle 40g,all over,100% polyester,pinneco mantle 40g,pinneco mantle 40g,none,none,none,none
15,seam tape,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink,0,0,0,0
16,no seam tape,none,none,none,none,none,none,none,none,none
18,lining,supplier/ reference number,location ,content,silt / gunmetal,walnut / ink,0,0,0,0
19,solid quilted satin,solis/ pr258,main body,100% polyester,ink 19-4010 tcx   ,ink 19-4010 tcx   ,none,none,none,none
20,solid satin,solis/ pr258,pocket bags,100% nylon,ink 19-4010 tcx   ,ink 19-4010 tcx   ,none,none,none,none
21,solid 210t ,solis/ sonp006-1 ,sleeves,100% nylon,black,black,none,none,none,none
