,position,ref num,winter 2018/2019,none,none,contractor:,none,soluna
2,style number:,none,l1-102-18,none,none,date created:,none,2017-02-27 00:00:00
3,style name:,none,sutton,none,none,date revised:,none,2017-04-06 00:00:00
4,waterproof/breathability:,none,15k/15k,none,none,block: ,none,l1-102-17 windsor
5,seam sealing:,none,fully seam sealed,none,none,fit:,none,regular insulated fit
6,insulation:,none,60g pinneco mantle insulation all over,none,none,target fob:,none,none
8,shell fabric ,supplier/ reference number,location ,content,ink,military,rust,black
9,none,"lucky / ltc3170017-r5-h311 micro hb, 15k/15k",a,100% polyester,ink,military,rust,black
10,insulation,supplier/ reference number,location ,content,ink,military,rust,black
11,polyfill insulation ,pinneco mantle 60g,all over,100% polyester,pinneco mantle 60g,pinneco mantle 60g,pinneco mantle 60g,pinneco mantle 60g
12,seam tape,supplier/ reference number,location ,content,ink,military,rust,black
13,seam tape,tsgs ,fully seam sealed,none,fully seam sealed,fully seam sealed,fully seam sealed,fully seam sealed
14,lining,supplier/ reference number,location ,content,ink,military,rust,black
15,solid 210t ,solis / sonp006-1,hood,100% nylon,black,black,black,black
16,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print
17,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black
18,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black
19,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black
20,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,black,black,black,black
21,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black
22,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black
23,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black
24,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black
