,position,item,ref num,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
8,center front,#5 vislon,ykk za/dag snap on // 2-way seperating auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
9,waist pocket,#5 metal,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider and teeth / dtm tape,none,none,none,none,none
10,underarms,#5 coil,dadhr diecast wire (non ykk) auto lock (zip up to close) ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
11,side entry hand pockets,#5 coil,dadhr diecast wire (non ykk) auto lock ,1 per side = 2,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
12,back hem zip,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / dtm tape,none,none,none,none,none
13,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,pseudo anti silver slider  and dtm teeth / black tape,none,none,none,none,none
14,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
15,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,pseudo anti silver ,none,none,none,none,none
16,underarms, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
17,side entry hand pockets, self fabric pull,factory made // 11nt-045 ,1 per side = 2,shell fabric matching,none,none,none,none,none
18,inside pocket, self fabric pull,factory made // 11nt-045 ,1,shell fabric matching,none,none,none,none,none
19,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
20,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none,none,none,none
21,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none,none,none,none
22,"cf, hand and chest pockets",l1 hem wrap,luks / l1-2016-trim-013,1,brown ,none,none,none,none,none
23,right hand pocket ,l1 new patch,luks / new trim ,1,brown,none,none,none,none,none
24,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
25,cf placket & hand pockets,24l metal snap,please sorce,7 sets,pseudo anti silver,none,none,none,none,none
26,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none,none,none,none
27,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none,none,none,none
28,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none,none,none,none
29,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
30,back hood cord lock,cord lock,knk / sp-177,1 per side = 2,tbd,none,none,none,none,none
31,back hood cord lock tip,cord tip,knk / cs-074,1 per side = 2,tbd,none,none,none,none,none
32,front hood cord locks (hidden on inside facing),cord lock,knk / sp-204,1 per side = 2,tbd,none,none,none,none,none
33,hem cord locks,cord lock,knk /  sp-058,1 per side = 2,tbd,none,none,none,none,none
34,pocket cord tip,cord lock,knk / cs-1,1 per side = 2,tbd,none,none,none,none,none
35,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
36,back hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,pseudo anti silver ,none,none,none,none,none
37,front hood adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none,none,none,none
38,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,pseudo anti silver ,none,none,none,none,none
39,hem adjust cord exit in lining pocket,grommet  8mm diameter,please sorce,1 per side = 2,pseudo anti silver ,none,none,none,none,none
40,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
42,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
43,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none,none,none,none
44,hem & hood cord lock tie downs,"1/4"" flat webbing loop",suppler / ref nuber,5,black,none,none,none,none,none
45,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none,none,none,none
46,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none,none,none,none
47,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none,none,none,none
48,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
49,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none,none,none,none
50,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none,none,none,none
