,position,ref num,location,amount,black,military,walnut,0,0,0
8, #8 metal zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,none,none,none
9, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,sleeve pocket,1,slider/pull/ teeth color: x antique copper zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper zipper tape color: 19-0515 tcx military,slider/pull/ teeth color: x antique copper zipper tape color: 18-0513 tcx walnut,none,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,none,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,slider/pull color: x antique copper zipper tape / teeth color: black,none,none,none
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,none,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,black,military,walnut,0,0,0
14,"l1-2018-trim-017
l1 zipper pull. graphic debossed 1mm 3.2 cm x 0.92 cm",ykk,center front,top and bottom pull = 2,ykk x antique copper,ykk x antique copper,ykk x antique copper,none,none,none
15,"l1-2018-trim-018
non branded zipper pull. faux leather",please source: same supplier as other faux leather trims,sleeve pocket (1) hand pockets (2),3,black faux leather,black faux leather,black faux leather,none,none,none
16, 11nt-045 / self fabric pull ,factory made,underarm vents,1 per side = 2,match to shell,match to shell,match to shell,none,none,none
17, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,match to shell,none,none,none
18,branded trims,supplier/ reference number,location,amount,black,military,walnut,0,0,0
19,"l1-2018-trim-007
large black faux leather hem wrap",please source: same supplier as other faux leather trims,left hand pocket hem,1,black faux leather,black faux leather,black faux leather,none,none,none
