,position,ref num,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,none,none
9,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",a,none,rust  ,ink  ,black,vintage camo broken twill,none,none
10,oxford,"solis/ oxford l2-581 / 10k/10k, c6 + dwr",b,none,black,gunmetal,black,x,none,none
11,broken twill,"solis / broken twill wl248, 10k/10k, c6 + dwr",b,none,x,x,x,vintage camo broken twill,none,none
12,insulation,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
13,polyfill insulation ,pinneco mantle 40g ,hood and sleeves,100% polyester,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,pinneco mantle 40g ,none,none
14,polyfill insulation ,pinneco mantle 60g ,body,100% polyester,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g ,pinneco mantle 60g ,none,none
15,seam tape,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
16,seam tape,tsgs ,critically seam taped,none,critically seam taped,critically seam taped,critically seam taped,critically seam taped,none,none
17,lining,supplier/ reference number,location ,content,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
18,solid 210t ,solis / sonp006-1,hood,100% polyester,black,black,black,black,none,none
19,printed satin,lucky / satin lining ltc36838-x-p1847 with dead flowers print,main body,100% polyester,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,lucky / satin lining ltc36838-x-p1847 with dead flowers print,x,none,none
20,solid satin,lucky / solid satin lining ltc36838-x-p1847,main body,100% polyester,x,x,x,black,none,none
21,solid 210t ,solis / sonp006-1,sleeves,100% nylon,black,black,black,black,none,none
22,solid 210t ,solis / sonp006-1,pocket bags other than hand,100% nylon,black,black,black,black,none,none
23,solid 210t ,solis / sonp006-1,top entry hand pocket bags,100% nylon,black,black,black,black,none,none
24,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,black,black,black,black,none,none
25,brushed tricot,supplier / ref code,side entry hand pocket bags,100% polyester,black,black,black,black,none,none
26,brushed tricot,supplier / ref code,chin guard,100% polyester,black,black,black,black,none,none
27,regular mesh ,supplier / ref code,underarm vents,100% polyester,black,black,black,black,none,none
28,regular mesh ,supplier / ref code,goggle pocket,100% polyester,black,black,black,black,none,none
29,stretch lycra,supplier / ref code,sleeve gaiters,none,black,black,black,black,none,none
