,position,ref num,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
8, #5 vislon zipper,ykk / 2-way semi auto locking with 2 l1 custom pulls,center front,1,slider/pull color: h6 antique silver/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,slider/pull color: x antique copper/ zipper tape and teeth color: black,none,none
9, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,chest pocket vertical,1,slider/pull/ teeth color: h6 antique silver/ zipper tape color: 19-1540 tcx rust,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4010 tcx ink,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,slider/pull/ teeth color: x antique copper/ zipper tape color: 19-4006 tcx black,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,underarm vents,1 per side = 2,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets vertical,1 per side = 2,slider/pull color: h6 antique silver/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,slider/pull color: x antique copper/ zipper tape / teeth color: black,none,none
12, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: h6 antique silver/ zipper tape / teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,silder/pull color: x antique copper/ zipper tape/ teeth color: black,none,none
13,additional zipper pulls,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
14,"l1-2018-trim-017
l1 zipper pull",ykk,center front,top and bottom pull= 2,ykk h6 antique silver,ykk x antique copper,ykk x antique copper,ykk x antique copper,none,none
15,l1-2018-trim-018 / non branded zipper pull faux leather ,please source: same supplier as other faux leather trims,chest pocket (1) hand pockets (2),3,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none,none
16, 11nt-045 / self fabric pull ,factory made,underarm vents ,1 per side = 2,match to shell,match to shell,match to shell,match to shell,none,none
17, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,match to shell,match to shell,none,none
18,branded trims,supplier/ reference number,location,amount,rust / black,ink / gunmetal,black,vintage camo broken twill,0,0
19,"l1-2018-trim-010
faux leather backed snap",luks,front placket chin & hem (working),3 sets,sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,none,none
20,"l1-2018-trim-010
faux leather backed snap ",luks,waist,1 (cap only),sas54 pseudo anti silver/brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,doxcp dull oxidized copper/ brown faux leather,none,none
