,position,ref num,location,amount,vintage camo broken twill,black,0,0,0,0
8, #5 coil zipper,ykk / 1-way semi auto locking with 1 l1 custom pull,center front,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,none,none,none,none
9, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,lining pocket vertical,1,silder/pull color: x6 black oxides zipper tape color: black,silder/pull color:x6 black oxides  zipper tape color: black,none,none,none,none
10,additional zipper pulls,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
11,"""l1-2018-trim-017
l1 zipper pull",ykk,center front,1,x6 black oxides ,x6 black oxides ,none,none,none,none
12, 11nt-045 / self fabric pull ,factory made,lining pocket vertical,1,match to shell,match to shell,none,none,none,none
13,branded trims,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
14,"l1-2018-trim-011
half deboss snap",luks,center front placket,5,al023 alloy (d),al023 alloy (d),none,none,none,none
15,"l1-2018-trim-002
black leather patch",please source,front right hem,1,black faux leather,black faux leather,none,none,none,none
16,"l1-2018-trim-024
l1 embroidery small
3cm x 2.77cm  ",please source,left sleeve hem,1,match to shell,match to shell,none,none,none,none
17,screen prints,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
18,screen print - quality as on sample of black jacket pamela has for collar reference,xxx,left chest,1,"2 color: pantone black, pantone 18-0950 tpx harvest","2 color: pantone black, pantone 18-0950 tpx harvest",none,none,none,none
19,screen print - quality as on sample of black jacket pamela has for collar reference,xxx,back,1,"2 color: pantone black, pantone 18-0950 tpx harvest","2 color: pantone black, pantone 18-0950 tpx harvest",none,none,none,none
20,trims,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
21,15mm metal snap,luk's / 404,hand pocket welts,1 per side = 2,al023 alloy (d),al023 alloy (d),none,none,none,none
22,metal eyelets 11mm,luk's / et89,hem cord exit,1 per side = 2,al023 alloy (d),al023 alloy (d),none,none,none,none
23,notions,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
24,8mm round drawcord,xxx,hem,1 (see measurements page for length),black,black,none,none,none,none
25,"1"" flat elastic",xxx,sleeve hems,1 per side = 2,available,available,none,none,none,none
26,velcro,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
27,thread,spi,supplier/ ref number,amount,vintage camo broken twill,black,0,0,0,0
28,seams,10-12 spi,30/2,none,match to shell,match to shell,none,none,none,none
29,topstitch,8-10 spi,30/2,none,match to shell,match to shell,none,none,none,none
31,labels ,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
32,dwr,soluna/ main label,center back below neck seam,1,dwr,dwr,none,none,none,none
33,size label (sample size l),soluna/ size label,center back below main label,1,"xs, s, m, l, xl","xs, s, m, l, xl",none,none,none,none
34,hang tags,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
35,mens jacket hang tag,soluna/ mens jacket hang tag,center back locker loop,1,mens jacket hang tag,mens jacket hang tag,none,none,none,none
36,care and content labels,supplier/ reference number,location,amount,vintage camo broken twill,black,0,0,0,0
37,address label,factory sourced,lining left side seam,1,address label,address label,none,none,none,none
38,content label,factory sourced,lining left side seam,1,content label,content label,none,none,none,none
39,washing label,factory sourced,lining left side seam,1,washing label,washing label,none,none,none,none
