,position,item,ref num,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
9,all shell is same fabric,"n6 nylon ottoman 2l, 20k/20k  $5.15",wideplus wnp121-bj4sr4 3l,100% nylon ottoman,black,none,none,none,none,none
10,insulation,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
12,seam tape,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
14,bonding film,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
16,lining,item,supplier/ ref number,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,colorway 6
17,main body,solid 210t,please sorce,100% nylon,black,none,none,none,none,none
18,seat,reversed 120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
19,lower leg & gaiter,coated 210t,please sorce,100% nylon,black,none,none,none,none,none
20,waistband & fly,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
21,hand pocket lining,120g brushed tricot,please sorce,100% poly,black,none,none,none,none,none
22,"""balls out"" venting",mesh,please sorce,100% poly,black,none,none,none,none,none
