,position,ref num,location ,content,silt,black,walnut,none,none,none
9,none,lucky / ltc32509-r5-h311 2l  / 20k/20k,a,none,silt,black,walnut,none,none,none
10,none,suppler? can you source same quality as other faux leather trims,front right belt loop,none,black faux leather,black faux leather,black faux leather,none,none,none
11,insulation,supplier/ reference number,location ,content,silt,black,walnut,0,0,0
13,seam tape,supplier/ reference number,location ,content,silt,black,walnut,0,0,0
14,seam tape,tsgs ,fully taped,none,fully taped,fully taped,fully taped,none,none,none
15,lining,supplier/ reference number,location ,content,silt,black,walnut,0,0,0
16,solid 210t ,solis / sonp006-1,body,100% nylon,black,black,black,none,none,none
17,solid 210t ,solis / sonp006-1,pocket bags,100% nylon,black,black,black,none,none,none
18,reverse brushed tricot,supplier / ref code,seat,100% polyester,black,black,black,none,none,none
19,brushed tricot,supplier / ref code,waistband and fly,100% polyester,black,black,black,none,none,none
20,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% polyester,black,black,black,none,none,none
21,power stretch mesh ,supplier / ref code,vents,100% polyester,black,black,black,none,none,none
22,lower leg lining print (see pdf),supplier/ reference number,location ,content,silt,black,walnut,0,0,0
23,on coated 210t,please source ,lower leg front and back,none,pantone 18-0403 tcx gunmetal,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,none,none,none
