,position,ref num,location ,content,vintage camo broken twill,none,none,none,none,none
11,insulation,supplier/ reference number,location ,content,vintage camo broken twill,0,0,0,0,0
12,polyfill,pinneco mantle,seat,100% polyester,40g,none,none,none,none,none
13,polyfill,pinneco mantle,knees (front),100% polyester,40g,none,none,none,none,none
14,seam tape,supplier/ reference number,location ,content,vintage camo broken twill,0,0,0,0,0
16,lining,supplier/ reference number,location ,content,vintage camo broken twill,0,0,0,0,0
17,solid 210t ,solis/ sonp006-1 ,legs,100% nylon,black,none,none,none,none,none
18,solid 210t ,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,none,none,none,none,none
19,solid 210t ,solis/ sonp006-1 ,secondary pocket bags,100% nylon,black,none,none,none,none,none
20,brushed tricot,brushed tricot,hand pocket bags,100% polyester,black,none,none,none,none,none
21,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,none,none,none,none,none
22,lower leg lining print (see pdf),supplier/ reference number,location ,content,vintage camo broken twill,0,0,0,0,0
