,position,ref num,location,amount,vintage camo broken twill,0,0,0,0,0
8, #5 coil zipper,ykk / 5c dalh 1-way semi auto locking,fly ,1,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none,none,none,none
9, #5 metal zipper,non ykk / 1-way dadhr die cast wire non locking,hand pockets,1 per side = 2,silder/pull/teeth color: x6 black oxides zipper tape color: black,none,none,none,none,none
10, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,leg vent ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none,none,none,none
11, #5 coil zipper,non ykk / 1-way dadhr die cast wire non locking,hem gusset ,1 per side = 2,silder/pull color: x6 black oxides zipper tape &teeth color: black,none,none,none,none,none
12,additional zipper pulls,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
13, 11nt-045 / self fabric pull ,factory made,hand pocket zippers,1 per side = 2,match to shell,none,none,none,none,none
14, 11nt-045 / self fabric pull ,factory made,leg vent zippers,1 per side = 2,match to shell,none,none,none,none,none
16,branded trims,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
17,"l1-2018-trim-022
l1 19mm shank
black alloy
al023",luks,front waist band closure,1,al023 alloy (d) ,none,none,none,none,none
18,"l1-2018-trim-019
l1 10mm denim rivet
black alloy
al023",luks,"front right hand pocket, bottom edge of opening",1,al023 alloy (d) ,none,none,none,none,none
19,"l1-2018-trim-020
l1 10mm square rivet
black alloy
al023",luks,"front left hand pocket, bottom edge of opening",1,al023 alloy (d) ,none,none,none,none,none
20,"l1-2018-trim-004
brown faux leather hem wrap",please source,back right hand pocket flap,1,brown faux leather,none,none,none,none,none
21,"l1-2018-trim-027
l1 faux leather patch
brown ",please source,back left knee,1,brown faux leather,none,none,none,none,none
22,"l1-2018-trim-025
l1 embroidery large
3.7cm x 3.4cm  ",please source,hem front left leg,1,match to shell,none,none,none,none,none
23,trims,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
24,15mm metal snap,luk's / 404,back pocket flaps (hidden),1 per side = 2,al023 alloy (d) ,none,none,none,none,none
25,15mm metal snap,luk's / 404,sleeve hems,"1 female, 2 male",al023 alloy (d) ,none,none,none,none,none
26,15mm metal snap,luk's / 404,finger snap hem adjust,1 per side = 2,al023 alloy (d) ,none,none,none,none,none
28,keyclip,as last year production,right hand pocket,1 per side = 2,black,none,none,none,none,none
29,notions,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
30,grosgrain,xxx,attach keyclip right hand pocket ,1,black,none,none,none,none,none
31,"shell tab 1""",soluna,under leg snaps,1 per side = 2,match to shell,none,none,none,none,none
32,"shell tab 1""",soluna,under boot hook,1 per side = 2,match to shell,none,none,none,none,none
33,gripper elastic 25mm non logo,mtt0022,powder skirt hem,1,black,none,none,none,none,none
34,velcro,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
35,thread,spi,supplier/ ref number,amount,vintage camo broken twill,0,0,0,0,0
40,labels ,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
41,10k/10k fully seam sealed,soluna/ main label,front left leg,1,10k/10k fully seam sealed,none,none,none,none,none
42,size label (sample size s),soluna/ size label,center back waist band,1,"xs, s, m, l",none,none,none,none,none
43,hang tags,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
44,womens pant hang tag,soluna/ womens pant hang tag,left side belt loop,1,womens pant hang tag,none,none,none,none,none
46,care and content labels,supplier/ reference number,location,amount,vintage camo broken twill,0,0,0,0,0
