,0,1,2,3,4,5,6,7,8,9
0,nitro mens jacket,none,none,none,none,sample size large / xs-xxl,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,soluna,none,none
2,style number:,none,n18-105,none,none,date created:,none,2017-03-17 00:00:00,none,none
3,style name:,none,reduce anorak,none,none,date revised:,none,none,none,none
4,waterproof/breathability:,none,0,none,none,block:,none,based on reduce fit (slightly increased for an anorak),none,none
5,seam sealing:,none,not seam sealed,none,none,fit:,none,0,none,none
6,insulation:,none,100g pinneco core ,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9,#5 vislon zipper,ykk / dalh 1-way semi auto locking,center front,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
10, #5 coil zipper,non ykk / dfw short 1-way non locking,chest pocket vertical,1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
11, #5 coil zipper,non ykk / dfw short 2-way bottom locking,side entry (right),1,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
12, #5 coil zipper,non ykk / dfw short 1-way non locking,hand pockets vertical,1 per side = 2,silder/pull color: matte black/ zipper tape &teeth color: matte black,none,none,none,none,none
14,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
16,nitro custom pull / n14-trim-139,knk / 3738,chest pocket vertical,1,color,none,none,none,none,none
17,nitro custom pull / n14-trim-139,knk / 3738,side entry (right),2,color,none,none,none,none,none
18,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
20,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
21,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,1,color,none,none,none,none,none
22,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",hood and sleeve hems,3,color,none,none,none,none,none
26,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
27,8mm metal eyelet,luk's / et04,hem adjust (left side),2,color,none,none,none,none,none
28,cord lock,none,hem adjust (left side),1,color,none,none,none,none,none
29,bead,none,hem adjust (left side),1,color,none,none,none,none,none
32,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
33,"grosgrain 3/8""",none,hem adjust (left side),1,color,none,none,none,none,none
34,shockcord,none,hem adjust (left side),1,color,none,none,none,none,none
37,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
41,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
42,seams,10-12 spi,30 / 2,none,match to shell,none,none,none,none,none
43,topstitch,8-10 spi,30 / 2,none,match to shell,none,none,none,none,none
44,bartacks,none,100 / 2,none,match to shell,none,none,none,none,none
46,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
47,main label,none,center back below neck seam,1,none,none,none,none,none,none
50,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
51,main hang tag,none,left hand pocket zipper,1,none,none,none,none,none,none
54,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
55,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
56,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
57,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
