,0,1,2,3,4,5,6,7,8,9
0,nitro womens jacket,none,none,none,none,sample size small / xs-l,none,none,none,none
1,season:,none,winter 2018/2019,none,none,contractor:,none,0,none,none
2,style number:,none,w18-108,none,none,date created:,none,2017-03-24 00:00:00,none,none
3,style name:,none,reduce anorak,none,none,date revised:,none,2016-07-11 00:00:00,none,none
4,waterproof/breathability:,none,0,none,none,block:,none,0,none,none
5,seam sealing:,none,not seam sealed,none,none,fit:,none,0,none,none
6,insulation:,none,100g pinneco core ,none,none,target fob:,none,0,none,none
8,zippers,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
9,#5 vislon,ykk / dalh 1-way semi auto locking,center front,1,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
10,#5 vislon,ykk / dfw short 1-way non locking,hand pockets vertical,1 per side = 2,silder/pull color: pseudo anti silver/ zipper tape color: black,none,none,none,none,none
12,additional zipper pulls,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
13,nitro custom pull / n14-trim-139,knk / 3738,center front,1,color,none,none,none,none,none
14,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,1 per side = 2,color,none,none,none,none,none
16,branded trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
17,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,1,color,none,none,none,none,none
18,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",hood and sleeve hems,3,color,none,none,none,none,none
22,trims,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
26,notions,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
30,velcro,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
34,thread,spi,supplier/ ref number,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
35,seams,10-12 spi,30 / 2,none,match to shell,none,none,none,none,none
36,topstitch,8-10 spi,30 / 2,none,match to shell,none,none,none,none,none
37,bartacks,none,100 / 2,none,match to shell,none,none,none,none,none
39,labels ,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
40,main label,none,center back below neck seam,1,none,none,none,none,none,none
43,hang tags,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
44,main hang tag,none,left hand pocket zipper,1,none,none,none,none,none,none
48,care and content labels,supplier/ reference number,location,amount,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
49,address label,factory sourced,lining left side seam,1,none,none,none,none,none,none
50,content label,factory sourced,lining left side seam,1,none,none,none,none,none,none
51,washing label,factory sourced,lining left side seam,1,none,none,none,none,none,none
