,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,none
9,cavalry stretch twill,hyperbola / sc579-1 / 2l (printable),s,100% polyester,color,none,none,none,none,none
10,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
11,polyfill,"pinneco
mantle-b-040-152",upper body,100% polyester,40g,none,none,none,none,none
13,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
15,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,0
16,solid 210t ,solis / sonp006-1,main body,100% nylon,color,none,none,none,none,none
17,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,none,none,none,none,none
18,solid coated 210t,solis / sonp006-pu03,lower leg facing & gaiter,100% nylon,color,none,none,none,none,none
19,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,none,none,none,none,none
20,regular mesh,supplier / ref code,leg vents,100% polyester,color,none,none,none,none,none
