,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-107-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,barstow,none,date revised: ,none,none,none,none
4,none,fabric rating: ,none,10k/ 10k,none,block: ,none,l1-116-16 barstow insulated,none,none
5,none,seam sealing: ,none,critically taped,none,fit: ,none,regular,none,none
6,none,sample size: ,none,mens large,none,target fob: ,none,37,none,none
8,zippers,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
9,center front,#5 metal,ykk za snap on // 1-way seperating auto lock ,1,psudo anti silver slider and teeth / black tape,none,none,none,none,none
10,inside pocket,#5 coil,dadhr diecast wire (non ykk) auto lock ,1,psudo anti silver slider and teeth / black tape,none,none,none,none,none
12,zipper pulls,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
13,center front,l1 snap on metal zipper pull,luks / l1-2016-trim-009 ,1,psudo anti silver ,none,none,none,none,none
15,l1 branded trims,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
16,front left sleeve,l1 small embroidery,soluna / l1-2016-026,1,dtm,none,none,none,none,none
17,back right ,l1 large embroidery,soluna / l1-2016-027,1,dtm,none,none,none,none,none
18,hand and chest pockets,l1 snap,luks / l1-2016-trim-001,3,psudo anti silver ,none,none,none,none,none
19,chest pocket bag,new patch,luks / new,1,black ,none,none,none,none,none
21,snaps,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
22,cf powder skirt closure,14 mm plastic snap,duraflex / 1414,"4 male, 2 female",black,none,none,none,none,none
23,pow skirt: jacket to pant connection on powderskirt hem,14 mm plastic snap,duraflex / 1414,3 sets,black,none,none,none,none,none
24,"""snap away powder skirt"" snap powder skirt to front facing when not in use",14 mm plastic snap,duraflex / 1414,"1 male, 1 female",black,none,none,none,none,none
26,cord locks,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
27,hem cord locks,cord lock,knk / sp-177,1 per side = 2,matte black,none,none,none,none,none
28,hem cord tips,cord tip,knk / cs-074,1 per side = 2,matte black,none,none,none,none,none
30,grommets,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
31,hood cord exit,grommet 11.5 mm (large),please sorce,1 per side = 2,psudo anti silver ,none,none,none,none,none
32,hem adjust cord exit,grommet  8mm diameter,please sorce,2 per side = 4,psudo anti silver ,none,none,none,none,none
34,shockcord,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
35,hem,3mm stretch shockcord,suppler / ref nuber,none,none,none,none,none,none,none
37,drawcord,item,supplier/ ref number,amount,0,0,0,0,0,0
38,hood,"3/8"" black waxed shoe lace with clear plastic tips",suppler / ref nuber,none,black waxed,none,none,none,none,none
40,webbing ,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
41,keyclip loop right hand pocket,"1/4"" flat x 1 3/4"" loop",suppler / ref nuber,1,black,none,none,none,none,none
42,hem cord lock tie down,"1/4"" flat webbing loop",suppler / ref nuber,1 per side = 2,black,none,none,none,none,none
43,right hand pocket,plastic keyclip ,suppler / ref nuber,1,black,none,none,none,none,none
44,jacket to pant connection center back ,"3/4"" x 1"" finished ",suppler / ref nuber,tab behind each snap = 2,black,none,none,none,none,none
45,jacket to pant connection at side tabs,"3/4"" x 3 1/4"" flat webbing",suppler / ref nuber,1,black,none,none,none,none,none
47,elastic,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
48,powder skirt gripper elastic,25mm,suppler / ref nuber,1,stock,none,none,none,none,none
49,jacket to pant connection center back tab,"flat elastic tape 3/4"" x 4 1/4""",suppler / ref nuber,1,black,none,none,none,none,none
50,encased in back of sleeve hem,25mm,suppler / ref nuber,1 per side = 2,stock,none,none,none,none,none
51,goggle pocket,elastine binding,suppler / ref nuber,1,black,none,none,none,none,none
52,lining media pocket cable guide,"1/4"" flat elastic",suppler / ref nuber,1,black,none,none,none,none,none
54,velcro,item,supplier/ ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
55,cuff ,2.5cm x 9cm,paiho / loop#1057,1 loop tab,matching,none,none,none,none,none
56,cuff tab,2.5cm x 6.5cm,paiho / hooketn7,1 hook tab,matching,none,none,none,none,none
58,thread,spi,ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
59,seams,none,#604,none,matching,none,none,none,none,none
60,topstitch,none,#606,none,matching,none,none,none,none,none
61,bartacks,none,none,none,matching,none,none,none,none,none
62,sleeve gaiter cover stitch,none,none,none,matching,none,none,none,none,none
64,marketing,description,ref number,amount,colorway 1 ,colorway 2,colorway 3,0,0,0
65,left hand pocket zipper head,l1 hang tag,none,1,l1 hang tag,none,none,none,none,none
66,lining cb facing,wp breath / size label / rn ca / made in ___,none,1,none,none,none,none,none,none
67,lining left side seam,address label,sew as loop,1,address label,none,none,none,none,none
68,lining left side seam,content label,sew as loop,1,content label,none,none,none,none,none
69,lining left side seam,washing label,sew as loop,1,washing label,none,none,none,none,none
70,front left belt loop to attach hang tags,clear zip tie,supplier // ,1,clear zip tie,none,none,none,none,none
