,0,1,2,3,4,5,6,7,8,9
0,none,l1 mens jacket,none,none,none,none,none,none,none,none
1,none,season: ,none,winter 2017/2018,none,contractor: ,none,soluna,none,none
2,none,style number:,none,l1-111-17,none,date created:,none,2016-03-14 00:00:00,none,none
3,none,style name: ,none,flint jacket,none,date revised: ,none,none,none,none
4,none,fabric rating: ,none,5k/5k,none,block: ,none,l1-111-16 flint reversible ,none,none
5,none,seam sealing: ,none,not taped,none,fit: ,none,street,none,none
6,none,insulation: ,none,"40g ""cs"" polyfill",none,target fob: ,none,36,none,none
7,none,sample size: ,none,mens large,none,none,none,none,none,none
9,none,none,none,none,colorways,none,none,none,none,none
10,shell fabric,item,supplier/ ref number,content,soil / black,black / oxblood,none,none,none,none
11,shell,cotton touch sonp020-cc01-m $3.95,none,none,soil,black,none,none,none,none
13,insulation,item,supplier/ ref number,content,soil / black,black / oxblood,0,0,0,0
14,"40g ""cs"" polyfill body and sleeves",none,none,none,"40g ""cs"" polyfill body and sleeves","40g ""cs"" polyfill body and sleeves",none,none,none,none
15,lightly insulate collar,none,none,none,lightly insulate collar,lightly insulate collar,none,none,none,none
17,seam tape,item,supplier/ ref number,content,soil / black,black / oxblood,0,0,0,0
18,not seam taped,none,none,none,not seam taped,not seam taped,none,none,none,none
20,lining,item,supplier/ ref number,content,soil / black,black / oxblood,0,0,0,0
21,body,soty003 with brush dwr ,none,none,soil / black,soil / black,none,none,none,none
22,sleeves & hand pocket bags,solid 210t,solis / ref number,none,black,black,none,none,none,none
