,description,item,ref,content,colorway/4,colorway/5,colorway/6
1,a,broken twill 5k/5k hydrophilic coating c6 dwr 80/10,solis wl248,none,none,none,none
2,insulation,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
3,"40g ""cs"" polyfill all over",none,polyfill,none,"40g ""cs"" polyfill all over",none,none
4,seam tape,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
5,critically taped,width...seam tape,sealon,none,critically taped,none,none
6,lining,item,supplier/ ref number,content,colorway 1 ,colorway 2,colorway 3
7,"chin, hood,  sleeves, body, pocket bags",solid 210d,solis / ref number,none,none,none,none
8,lower body & powder skirt ,solid coated 210d,solis / ref number,none,none,none,none
9,goggle pocket,regular mesh,solis / ref number,none,none,none,none
10,sleeve gaiter,stretch lycra,solis / ref number,none,none,none,none
