,Style,position,ref num,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-204 TRAVERSE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-204 TRAVERSE_SHELL.csv,polyfill,"pinneco
mantle-b-040-152",upper body,100% polyester,40g,,,,,
2,N18-204 TRAVERSE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-204 TRAVERSE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
4,N18-204 TRAVERSE_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
5,N18-204 TRAVERSE_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
6,N18-204 TRAVERSE_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,color,,,,,
7,N18-204 TRAVERSE_SHELL.csv,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,,,,,
8,N18-204 TRAVERSE_SHELL.csv,regular mesh,supplier / ref code,leg vents,100% polyester,color,,,,,
0,N18-105 REDUCE ANORAK_TRIMS.csv,#5 vislon zipper,ykk / dalh 1-way semi auto locking,center front,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
1,N18-105 REDUCE ANORAK_TRIMS.csv, #5 coil zipper,non ykk / dfw short 1-way non locking,chest pocket vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
2,N18-105 REDUCE ANORAK_TRIMS.csv, #5 coil zipper,non ykk / dfw short 2-way bottom locking,side entry (right),,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1
3,N18-105 REDUCE ANORAK_TRIMS.csv, #5 coil zipper,non ykk / dfw short 1-way non locking,hand pockets vertical,,silder/pull color: matte black/ zipper tape &teeth color: matte black,,,,,1 per side = 2
4,N18-105 REDUCE ANORAK_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
5,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
6,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,chest pocket vertical,,color,,,,,1
7,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,side entry (right),,color,,,,,2
8,N18-105 REDUCE ANORAK_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
9,N18-105 REDUCE ANORAK_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
10,N18-105 REDUCE ANORAK_TRIMS.csv,nitro faux suede patch/ n19-trim002,chun wo ho/ m1494817,front left hem,,color,,,,,1
11,N18-105 REDUCE ANORAK_TRIMS.csv,"nitro embossed 
petersham logo binding tape","chun wo ho
e1342816 20mm",hood and sleeve hems,,color,,,,,3
12,N18-105 REDUCE ANORAK_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
13,N18-105 REDUCE ANORAK_TRIMS.csv,8mm metal eyelet,luk's / et04,hem adjust (left side),,color,,,,,2
14,N18-105 REDUCE ANORAK_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
15,N18-105 REDUCE ANORAK_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
16,N18-105 REDUCE ANORAK_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
17,N18-105 REDUCE ANORAK_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
18,N18-105 REDUCE ANORAK_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
19,N18-105 REDUCE ANORAK_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,N18-203 INCLINE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-203 INCLINE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-203 INCLINE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-203 INCLINE_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
4,N18-203 INCLINE_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
5,N18-203 INCLINE_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,color,,,,,
6,N18-203 INCLINE_SHELL.csv,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,,,,,
7,N18-203 INCLINE_SHELL.csv,power stretch mesh,supplier / ref code,leg vents,100% polyester,color,,,,,
0,W18-103 SPIRE_032917_TRIMS.csv, #5 vislon zipper,ykk / dalh/dag 2-way semi auto locking,center front,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
1,W18-103 SPIRE_032917_TRIMS.csv,#3 aquaguard coil zipper with matte transparent film (5cnt10),ykk /  1-way dfw short non locking,sleeve pocket,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
2,W18-103 SPIRE_032917_TRIMS.csv, #5 coil zipper,non ykk /  1-way dfw short non locking,underarm vents,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
3,W18-103 SPIRE_032917_TRIMS.csv, #5 coil zipper,ykk /  1-way dfw short non locking,hand pockets horizontal,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1 per side = 2
4,W18-103 SPIRE_032917_TRIMS.csv, #3 coil zipper,ykk /  1-way dfw short non locking,lining pocket vertical,,silder/pull color: pseudo anti silver/ zipper tape color: black,,,,,1
5,W18-103 SPIRE_032917_TRIMS.csv,additional zipper pulls,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
6,W18-103 SPIRE_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,center front,,color,,,,,1
7,W18-103 SPIRE_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,arm pocket,,color,,,,,1
8,W18-103 SPIRE_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,hand pockets vertical,,color,,,,,1 per side = 2
9,W18-103 SPIRE_032917_TRIMS.csv,nitro custom pull / n14-trim-139,knk / 3738,lining pocket vertical,,color,,,,,1
10,W18-103 SPIRE_032917_TRIMS.csv,branded trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
11,W18-103 SPIRE_032917_TRIMS.csv,nitro trim number //  metal snap,xxx,chin,,color,,,,,2
12,W18-103 SPIRE_032917_TRIMS.csv,trims,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
13,W18-103 SPIRE_032917_TRIMS.csv,8mm metal eyelet,luk's / et04,front hood adjust,,metal color,,,,,2 per side = 4
14,W18-103 SPIRE_032917_TRIMS.csv,back hood adjust,duraflex 1-7976 10mm evileye tension lock nylon,back hood adjust,,color,,,,,1
15,W18-103 SPIRE_032917_TRIMS.csv,8mm metal eyelet,luk's / et04,hem adjust ,,metal color,,,,,2 per side = 4
16,W18-103 SPIRE_032917_TRIMS.csv,15mm metal snap,luk's / 404,snap away powder skirt - lining facing ,,metal color,,,,,1 male 1 female
17,W18-103 SPIRE_032917_TRIMS.csv,15mm metal snap,luk's / 404,powder skirt - front closure,,metal color,,,,,"1 female, 2 male"
18,W18-103 SPIRE_032917_TRIMS.csv,15mm metal snap,luk's / 404,powder skirt - jacket to pant connection on tabs,,metal color,,,,,3 sets
19,W18-103 SPIRE_032917_TRIMS.csv,notions,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
20,W18-103 SPIRE_032917_TRIMS.csv,"grosgrain 1/4""",xxx,attach front hood cord lock,,color,,,,,1 per side = 2
21,W18-103 SPIRE_032917_TRIMS.csv,"grosgrain 3/8""",xxx,attach hem cord lock,,color,,,,,1 per side = 2
22,W18-103 SPIRE_032917_TRIMS.csv,"grosgrain 1/4""",xxx,attach keyclip right hand pocket ,,color,,,,,1
23,W18-103 SPIRE_032917_TRIMS.csv,shockcord,xxx,hood,,color,,,,,1
24,W18-103 SPIRE_032917_TRIMS.csv,shockcord,xxx,hem,,color,,,,,1
25,W18-103 SPIRE_032917_TRIMS.csv,"elastine tape (used in 1"" x1 1/2"" welt)",xxx,lining media pocket cord exit,,color,,,,,1
26,W18-103 SPIRE_032917_TRIMS.csv,"grosgrain 3/4"" x 1"" ",xxx,powder skirt jacket to pant connection tabs behind snaps,,color,,,,,1
27,W18-103 SPIRE_032917_TRIMS.csv,"elastic 3/4"" (cb 3/4 x 4"") (side tabs 3/4 x 3 1/4""",xxx,powder skirt jacket to pant connection tabs,,color,,,,,3 pieces 
28,W18-103 SPIRE_032917_TRIMS.csv,velcro,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
29,W18-103 SPIRE_032917_TRIMS.csv,"1/2"" x 1 1/2"" velcro with rounded corners",xxx,chin,,match to shell,,,,,1
30,W18-103 SPIRE_032917_TRIMS.csv," 1/2"" x 2 velcro with rounded corners",xxx,center front placket,,match to shell,,,,,4
31,W18-103 SPIRE_032917_TRIMS.csv,"1"" x 3 1/2"" velcro with rounded corners",paiho / loop#1057,cuff on body,,match to shell,,,,,1 per side = 2
32,W18-103 SPIRE_032917_TRIMS.csv,"1"" x 1 1/2"" velcro with rounded corners",paiho / hooketn7,cuff on tab,,match to shell,,,,,1 per side = 2
33,W18-103 SPIRE_032917_TRIMS.csv,thread,spi,supplier/ ref number,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
34,W18-103 SPIRE_032917_TRIMS.csv,labels ,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
35,W18-103 SPIRE_032917_TRIMS.csv,hang tags,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
36,W18-103 SPIRE_032917_TRIMS.csv,care and content labels,supplier/ reference number,location,,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,amount
0,W18-105 AARAN 1ST PROTO REVISION_SHELL.csv,insulation,supplier/ reference number,location ,content,black,chive/chino,merlot,cascade/chino,smkd pink ,
1,W18-105 AARAN 1ST PROTO REVISION_SHELL.csv,seam tape,supplier/ reference number,location ,content,black,chive/chino,merlot,cascade/chino,smkd pink ,
2,W18-105 AARAN 1ST PROTO REVISION_SHELL.csv,lining,supplier/ reference number,location ,content,black,chive/chino,merlot,cascade/chino,smkd pink ,
0,N18-102 DENALI ANORAK_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-102 DENALI ANORAK_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-102 DENALI ANORAK_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-102 DENALI ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,
4,N18-102 DENALI ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
5,N18-102 DENALI ANORAK_SHELL.csv,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,
6,N18-102 DENALI ANORAK_SHELL.csv,solid 210t ,supplier / ref code,chest pocket bag,100% nylon,color,,,,,
7,N18-102 DENALI ANORAK_SHELL.csv,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
8,N18-102 DENALI ANORAK_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
9,N18-102 DENALI ANORAK_SHELL.csv,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,
10,N18-102 DENALI ANORAK_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
0,N18-108 ACCESS softshell_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-108 ACCESS softshell_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-108 ACCESS softshell_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-108 ACCESS softshell_SHELL.csv,brushed tech mesh,supplier / ref code,chin facing,100% polyester,color,,,,,
4,N18-108 ACCESS softshell_SHELL.csv,solid 210t,solis / sonp006-1,media pocket,100% nylon,color,,,,,
0,N18-201-KITAMI BIB 3L_032917_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-201-KITAMI BIB 3L_032917_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-201-KITAMI BIB 3L_032917_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
0,N18-104 POWELL_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-104 POWELL_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-104 POWELL_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-104 POWELL_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,
4,N18-104 POWELL_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
5,N18-104 POWELL_SHELL.csv,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,
6,N18-104 POWELL_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
7,N18-104 POWELL_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% nylon,color,,,,,
8,N18-104 POWELL_SHELL.csv,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
9,N18-104 POWELL_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
10,N18-104 POWELL_SHELL.csv,brushed tech mesh,supplier / ref code,neck facing,100% polyester,color,,,,,
11,N18-104 POWELL_SHELL.csv,regular mesh,supplier / ref code,underarm vents,100% polyester,color,,,,,
12,N18-104 POWELL_SHELL.csv,regular mesh ,supplier / ref code,goggle pocket,100% polyester,color,,,,,
13,N18-104 POWELL_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
0,N18-112_ATACAMA_PONCHO_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-112_ATACAMA_PONCHO_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-112_ATACAMA_PONCHO_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-112_ATACAMA_PONCHO_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,
4,N18-112_ATACAMA_PONCHO_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
0,N18-109 REGULATOR Fleece_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,N18-109 REGULATOR Fleece_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,N18-109 REGULATOR Fleece_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,N18-109 REGULATOR Fleece_SHELL.csv,solid 210t,solis / sonp006-1,pocket bags?,100% nylon,color,,,,,
0,W18-104 CIRQUE_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-104 CIRQUE_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,W18-104 CIRQUE_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-104 CIRQUE_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,
4,W18-104 CIRQUE_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
5,W18-104 CIRQUE_SHELL.csv,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,
6,W18-104 CIRQUE_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
7,W18-104 CIRQUE_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,color,,,,,
8,W18-104 CIRQUE_SHELL.csv,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
9,W18-104 CIRQUE_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
10,W18-104 CIRQUE_SHELL.csv,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,color,,,,,
11,W18-104 CIRQUE_SHELL.csv,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,color,,,,,
12,W18-104 CIRQUE_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
0,W18-203 WHISTLER_SHELL.csv,cavalry stretch twill,hyperbola / sc579-1 / 2l (printable),s,100% polyester,color,,,,,
1,W18-203 WHISTLER_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
2,W18-203 WHISTLER_SHELL.csv,polyfill,"pinneco
mantle-b-040-152",upper body,100% polyester,40g,,,,,
3,W18-203 WHISTLER_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
4,W18-203 WHISTLER_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
5,W18-203 WHISTLER_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
6,W18-203 WHISTLER_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
7,W18-203 WHISTLER_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower leg facing & gaiter,100% nylon,color,,,,,
8,W18-203 WHISTLER_SHELL.csv,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,color,,,,,
9,W18-203 WHISTLER_SHELL.csv,regular mesh,supplier / ref code,leg vents,100% polyester,color,,,,,
0,W18-102-FJALLKONA_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
1,W18-102-FJALLKONA_SHELL.csv,polyfill,pinneco mantle,all over,100% polyester,40g,,,,,
2,W18-102-FJALLKONA_SHELL.csv,seam tape,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
3,W18-102-FJALLKONA_SHELL.csv,lining,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
4,W18-102-FJALLKONA_SHELL.csv,solid 210t ,solis / sonp006-1,hood,100% nylon,color,,,,,
5,W18-102-FJALLKONA_SHELL.csv,solid 210t ,solis / sonp006-1,main body,100% nylon,color,,,,,
6,W18-102-FJALLKONA_SHELL.csv,solid 210t ,solis / sonp006-1,sleeves,100% nylon,color,,,,,
7,W18-102-FJALLKONA_SHELL.csv,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,color,,,,,
8,W18-102-FJALLKONA_SHELL.csv,solid coated 210t,solis / sonp006-pu03,lower body & powder skirt,100% polyester,color,,,,,
9,W18-102-FJALLKONA_SHELL.csv,brushed tricot,supplier / ref code,hand pocket bags,100% polyester,color,,,,,
10,W18-102-FJALLKONA_SHELL.csv,brushed tricot,supplier / ref code,chin guard,100% polyester,color,,,,,
11,W18-102-FJALLKONA_SHELL.csv,power stretch mesh ,supplier / ref code,underarm vents,100% polyester,color,,,,,
12,W18-102-FJALLKONA_SHELL.csv,power stretch mesh ,supplier / ref code,goggle pocket,100% polyester,color,,,,,
13,W18-102-FJALLKONA_SHELL.csv,lycra,supplier / ref code,sleeve gaiters,content,color,,,,,
0,W18-101 PALISADES_SHELL.csv,insulation,supplier/ reference number,location ,content,colorway 1,colorway 2,colorway 3,colorway 4,colorway 5,
