,brand,style,item,supplier,ref,description,content,width:,weight:,position,qty,price/unit,unit,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,fabric,trims,outter ,inner
0,scott usa,m trail mtn wb 40 jacket,lm792,premiere,,"shell fabric at hood, above chest, lower front body, back body, sleeves
facing fabric at windflap, hood shockcord tunnel, self fabric seam binding as needed, shockcord tunnel",,,,none,none,5,yard,eclipse blue,sea blue,tangerine orange,none,none,none,1,0,,
1,scott usa,m trail mtn wb 40 jacket,sotl085-pu01,solis,,"shell fabric at hood, above chest, lower front body, back body, sleeves
facing fabric at windflap, hood shockcord tunnel, self fabric seam binding as needed, shockcord tunnel",,,,none,none,3,yard,none,none,none,dark grey melange,none,none,1,0,,
2,scott usa,m trail mtn wb 40 jacket,lm792,premiere,,shell fabric at mid chest panels,,,,none,none,5,yard,tangerine orange,blue coral,eclipse blue,none,none,none,1,0,,
3,scott usa,m trail mtn wb 40 jacket,sotl085-pu01,solis,,shell fabric at mid chest panels,,,,none,none,3,yard,none,none,none,dark grey melange,none,none,1,0,,
4,scott usa,m trail mtn wb 40 jacket,ym11-3527,youngone,,stretch mesh ,,,,back pocket bag,none,2.7,yard,dark grey,dark grey,dark grey,dark grey,none,none,1,0,,
5,scott usa,m trail mtn wb 40 jacket,l1025 sw,r.m. interlinings ltd.,,non woven interlining,,,,windflap,none,0.1,yard ,stock white,stock white,stock white,stock white,none,none,1,0,,
6,scott usa,m trail mtn wb 40 jacket,cifol-39 dsbyg (h3),ykk,,"#3 coil, open end, left insert, dsbyg slider ",,,,cf zipper,1,none,0,eclipse blue,blue coral,tangerine orange,dark grey,none,none,0,1,,
7,scott usa,m trail mtn wb 40 jacket,cfc-39 dw2w (e)         ,ykk,,"#3 coil, closed end, dw2w slider ",,,,back pocket zipper,1,none,0,eclipse blue,sea blue,tangerine orange,dark grey,none,none,0,1,,
8,scott usa,m trail mtn wb 40 jacket,web-ref-8mm,tba,,reflective zipper puller,,,,"back pocket (1 inside and 1 outside), back hood (1)",3,0.53,yard,reflective silver,reflective silver,reflective silver,reflective silver,none,none,0,1,,
9,scott usa,m trail mtn wb 40 jacket,"1/4"" elastic",woosung  ,,"1/4"" elastic",,,,"hood, cuffs, hem, sides of hood",none,0.056,yard,stock white,stock white,stock white,stock white,none,none,0,1,,
10,scott usa,m trail mtn wb 40 jacket,pca224,utx,,cordlock,,,,back of hood (1),1,0.06,0.058,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
11,scott usa,m trail mtn wb 40 jacket,10mm grosgrain ribbon,woosung,,grosgrain ribbon           ,,,,"anchor for pca224 cordlock at back hood, loop inside back pocket",none,0.05,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
12,scott usa,m trail mtn wb 40 jacket,*new* 2mm shockcord ,tba,,custom braid,,,,hood ,none,none,yard,"orange
17-1462",sea blue,"orange
17-1462",dark grey,none,none,0,1,,
13,scott usa,m trail mtn wb 40 jacket,7mm thread eyelet,coats,,thread eyelet,,,,back of hood adjustment shockcord exit and tunnel,2,none,yard,eclipse blue,sea blue,tangerine orange,dark grey,none,none,0,1,,
14,scott usa,m trail mtn wb 40 jacket,rht-004,tba,,reflective heat transfer,,,,front left chest,1,none,0,reflective eclipse blue,reflective sea blue,reflective orange 17-1462,reflective silver,none,none,0,1,,
15,scott usa,m trail mtn wb 40 jacket,rht-009,tba,,reflective heat transfer,,,,right bicep,1,none,0,reflective orange 17-1462,reflective sea blue,reflective eclipse blue,reflective silver,none,none,0,1,,
16,scott usa,m trail mtn wb 40 jacket,dw-rc-001,factory,,reflective durawelt,,,,cb below neckseam,1,0.28,0.28,reflective silver,reflective silver,reflective silver,reflective silver,none,none,0,1,,
17,scott usa,m trail mtn wb 40 jacket,m_t42_bd,wwd,,heat transfer main interior label w/size/country,,,,interior cb neck,1,0.13,0.13,x,x,x,x,none,none,0,1,,
18,scott usa,m trail mtn wb 40 jacket,sco-lb-adrs    ,daeyong ,,address/rn & ca #s           ,,,,under normal care label      ,1,0.06,0.06,x,x,x,x,none,none,0,1,,
19,scott usa,m trail mtn wb 40 jacket,8mm grosgrain ,woosung,,grosgrain,,,,locker loop,none,0.04,yard,dark grey,dark grey,dark grey,dark grey,none,none,0,1,,
20,scott usa,m trail mtn wb 40 jacket,ccl-094,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,x,x,x,none,none,none,0,1,,
21,scott usa,m trail mtn wb 40 jacket,ccl-001,daeyong,,care content labels,,,,interior left side seam,1,0.035,0.035,none,none,none,x,none,none,0,1,,
22,scott usa,m trail mtn wb 40 jacket,po label,daeyong ,,po label- for bulk only!,,,,interior left side seam,1,0.005,0.005,white,white,white,white,none,none,0,1,,
23,scott usa,m trail mtn wb 40 jacket,m-ht-app+chain,daeyong ,,m's apparel hangtag,,,,cf zipper slider,1,0.28,0.28,x,x,x,x,none,none,0,1,,
24,scott usa,m trail mtn wb 40 jacket,fit-ht-gen,daeyong,,general fit hang tag,,,,cf zipper slider,1,0.11,0.11,x,x,x,x,none,none,0,1,,
25,scott usa,m trail mtn wb 40 jacket,fit-ht-ath,daeyong ,,athletic fit hangtag       ,,,,cf zipper slider,1,0.055,0.055,x,x,x,x,none,none,0,1,,
26,scott usa,m defined merino jkt,4560,dti,,"shell fabric at hood, sleeves, front body, back body, zipper garages, windflap
facing fabric at rolled cuffs, rolled hem, pockets",,,,none,none,11.87,meter,lunar blue,lake blue,iron grey,nightfall blue,royal red,none,1,0,,
27,scott usa,m defined merino jkt,please source,none,,mesh,,,,"hand pocket bags, chest pocket bag",none,none,yard,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,1,0,,
28,scott usa,m defined merino jkt,cifol-56 da8blh1 (e)           ,ykk,,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,1,none,0,marine blue,lake blue,caviar black,nightfall blue,royal red,none,0,1,,
29,scott usa,m defined merino jkt,cfc-36 dablh (e)         ,ykk,,"#3 coil, closed end, dablh slider ",,,,chest pocket zipper,1,none,0,marine blue,lake blue,caviar black,nightfall blue,moroccan red,none,0,1,,
30,scott usa,m defined merino jkt,cfc-36 dablh (e)         ,ykk,,"#3 coil, closed end, dablh slider ",,,,hand pocket zippers,2,none,0,lunar blue,lake blue,caviar black,nightfall blue,moroccan red,none,0,1,,
31,scott usa,m defined merino jkt,zp-561/5    ,utx,,pop in puller- #5       ,,,,cf zipper,1,0.05,0.05,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,0,1,,
32,scott usa,m defined merino jkt,zp-562/3    ,utx,,pop in puller- #3        ,,,,"hand pkt zippers, chest pocket zipper",3,0.049,0.147,lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,0,1,,
33,scott usa,m defined merino jkt,pca224,utx,,cordlock,,,,hem adjustment,2,0.06,0.116,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,0,1,,
34,scott usa,m defined merino jkt,10mm grosgrain ribbon,woosung,,webbing,,,,anchor for pca224 cordlock at bottom hem,none,0.05,yard,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
35,scott usa,m defined merino jkt,p481s001,utx,,rubber puller ,,,,hem adjustment      ,2,0.02,0.04,s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),s3734 (dark grey),none,0,1,,
36,scott usa,m defined merino jkt,1034213,chun wo ho,,custom braid 2.2mm,,,,bottom hem,none,0.109,yard,marine blue,nightfall blue,caviar black,nightfall blue,moroccan red,none,0,1,,
37,scott usa,m defined merino jkt,5mm eyelet,il jin  ,,5mm logo eyelet,,,, hem adjustment exit (4),4,0.03,0.12,antique silver,antique silver,antique silver,antique silver,antique silver,none,0,1,,
38,scott usa,m defined merino jkt,"3/4"" foldable lycra",woosung,,binding,,,,"hood binding, cf zipper tape finish, neck seam          ",none,0.244,yard,marine blue,lake blue,caviar black,nightfall blue,royal red,none,0,1,,
39,scott usa,m defined merino jkt,hdp-003,factory,,high density print (matte quality),,,,upper left chest,1,none,0,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,none,0,1,,
40,scott usa,m defined merino jkt,sb-hdp-804,factory,,high density print (matte quality),,,,right bicep,1,none,0,marine blue,19-4110 nightfall blue,caviar black,19-4010 eclipse blue,moroccan red,none,0,1,,
41,scott usa,m defined merino jkt,m-size-20,daeyong,,m's main interior label           ,,,,cb neckseam      ,1,0.045,0.045,x,x,x,x,x,none,0,1,,
42,scott usa,m defined merino jkt,8mm grosgrain ribbon    ,woosung  ,,grosgrain ribbon           ,,,,locker loop      ,1,0,0,dark grey,dark grey,dark grey,dark grey,dark grey,none,0,1,,
43,scott usa,m defined merino jkt,ccl-164,daeyong,,care content labels,,,,left side seam,1,0.035,0.035,x,x,x,x,x,none,0,1,,
44,scott usa,m defined merino jkt,po label,daeyong ,,po label- for bulk only!,,,,left side seam,1,0.005,0.005,white,white,white,white,white,none,0,1,,
45,scott usa,m defined merino jkt,m-ht-lay,daeyong,,m's layering hangtag         ,,,,left side       ,1,0.22,0.22,x,x,x,x,x,none,0,1,,
46,scott usa,m defined merino jkt,hangtag chain,daeyong,,chain for hangtag,,,,left side       ,1,0.06,0.06,x,x,x,x,x,none,0,1,,
