,item,description,spec,width:,weight:,position,colorway-1,colorway-2,colorway-3,colorway-4,colorway-5,colorway-6,colorway-7,colorway-8,brand,style,supplier,ref,qty,price/unit,unit,fabric,trims,outer,inner
0,lm792,"shell fabric at hood, above chest, lower front body, back body, sleeves
facing fabric at windflap, hood shockcord tunnel, self fabric seam binding as needed, shockcord tunnel",,,,,eclipse blue,sea blue,tangerine orange,,,,,,scott usa,m trail mtn wb 40 jacket,premiere,,,5,yard,1,0,1,0
1,sotl085-pu01,"shell fabric at hood, above chest, lower front body, back body, sleeves
facing fabric at windflap, hood shockcord tunnel, self fabric seam binding as needed, shockcord tunnel",,,,,,,,dark grey melange,,,,,scott usa,m trail mtn wb 40 jacket,solis,,,3,yard,1,0,1,0
2,lm792,shell fabric at mid chest panels,,,,,tangerine orange,blue coral,eclipse blue,,,,,,scott usa,m trail mtn wb 40 jacket,premiere,,,5,yard,1,0,1,0
3,sotl085-pu01,shell fabric at mid chest panels,,,,,,,,dark grey melange,,,,,scott usa,m trail mtn wb 40 jacket,solis,,,3,yard,1,0,1,0
4,ym11-3527,stretch mesh ,,,,back pocket bag,dark grey,dark grey,dark grey,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,youngone,,,2.7,yard,1,0,1,0
5,l1025 sw,non woven interlining,,,,windflap,stock white,stock white,stock white,stock white,,,,,scott usa,m trail mtn wb 40 jacket,r.m. interlinings ltd.,,,0.1,yard ,1,0,1,0
6,cifol-39 dsbyg (h3),"#3 coil, open end, left insert, dsbyg slider ",,,,cf zipper,eclipse blue,blue coral,tangerine orange,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,ykk,,1,,0,0,1,1,0
7,cfc-39 dw2w (e)         ,"#3 coil, closed end, dw2w slider ",,,,back pocket zipper,eclipse blue,sea blue,tangerine orange,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,ykk,,1,,0,0,1,1,0
8,web-ref-8mm,reflective zipper puller,,,,"back pocket (1 inside and 1 outside), back hood (1)",reflective silver,reflective silver,reflective silver,reflective silver,,,,,scott usa,m trail mtn wb 40 jacket,tba,,3,0.53,yard,0,1,1,0
9,"1/4"" elastic","1/4"" elastic",,,,"hood, cuffs, hem, sides of hood",stock white,stock white,stock white,stock white,,,,,scott usa,m trail mtn wb 40 jacket,woosung  ,,,0.056,yard,0,1,1,0
10,pca224,cordlock,,,,back of hood (1),dark grey,dark grey,dark grey,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,utx,,1,0.06,0.058,0,1,1,0
11,10mm grosgrain ribbon,grosgrain ribbon           ,,,,"anchor for pca224 cordlock at back hood, loop inside back pocket",dark grey,dark grey,dark grey,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,woosung,,,0.05,yard,0,1,1,0
12,*new* 2mm shockcord ,custom braid,,,,hood ,"orange
17-1462",sea blue,"orange
17-1462",dark grey,,,,,scott usa,m trail mtn wb 40 jacket,tba,,,,yard,0,1,1,0
13,7mm thread eyelet,thread eyelet,,,,back of hood adjustment shockcord exit and tunnel,eclipse blue,sea blue,tangerine orange,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,coats,,2,,yard,0,1,1,0
14,rht-004,reflective heat transfer,,,,front left chest,reflective eclipse blue,reflective sea blue,reflective orange 17-1462,reflective silver,,,,,scott usa,m trail mtn wb 40 jacket,tba,,1,,0,0,1,1,0
15,rht-009,reflective heat transfer,,,,right bicep,reflective orange 17-1462,reflective sea blue,reflective eclipse blue,reflective silver,,,,,scott usa,m trail mtn wb 40 jacket,tba,,1,,0,0,1,1,0
16,dw-rc-001,reflective durawelt,,,,cb below neckseam,reflective silver,reflective silver,reflective silver,reflective silver,,,,,scott usa,m trail mtn wb 40 jacket,factory,,1,0.28,0.28,0,1,1,0
17,m_t42_bd,heat transfer main interior label w/size/country,,,,interior cb neck,x,x,x,x,,,,,scott usa,m trail mtn wb 40 jacket,wwd,,1,0.13,0.13,0,1,1,0
18,sco-lb-adrs    ,address/rn & ca #s           ,,,,under normal care label      ,x,x,x,x,,,,,scott usa,m trail mtn wb 40 jacket,daeyong ,,1,0.06,0.06,0,1,1,0
19,8mm grosgrain ,grosgrain,,,,locker loop,dark grey,dark grey,dark grey,dark grey,,,,,scott usa,m trail mtn wb 40 jacket,woosung,,,0.04,yard,0,1,1,0
20,ccl-094,care content labels,,,,interior left side seam,x,x,x,,,,,,scott usa,m trail mtn wb 40 jacket,daeyong,,1,0.035,0.035,0,1,1,0
21,ccl-001,care content labels,,,,interior left side seam,,,,x,,,,,scott usa,m trail mtn wb 40 jacket,daeyong,,1,0.035,0.035,0,1,1,0
22,po label,po label- for bulk only!,,,,interior left side seam,white,white,white,white,,,,,scott usa,m trail mtn wb 40 jacket,daeyong ,,1,0.005,0.005,0,1,1,0
23,m-ht-app+chain,m's apparel hangtag,,,,cf zipper slider,x,x,x,x,,,,,scott usa,m trail mtn wb 40 jacket,daeyong ,,1,0.28,0.28,0,1,1,0
24,fit-ht-gen,general fit hang tag,,,,cf zipper slider,x,x,x,x,,,,,scott usa,m trail mtn wb 40 jacket,daeyong,,1,0.11,0.11,0,1,1,0
25,fit-ht-ath,athletic fit hangtag       ,,,,cf zipper slider,x,x,x,x,,,,,scott usa,m trail mtn wb 40 jacket,daeyong ,,1,0.055,0.055,0,1,1,0
26,4560,"shell fabric at hood, sleeves, front body, back body, zipper garages, windflap
facing fabric at rolled cuffs, rolled hem, pockets",,,,,lunar blue,lake blue,iron grey,nightfall blue,royal red,,,,scott usa,m defined merino jkt,dti,,,11.87,meter,1,0,1,0
27,please source,mesh,,,,"hand pocket bags, chest pocket bag",lunar blue,nightfall blue,caviar black,nightfall blue,moroccan red,,,,scott usa,m defined merino jkt,,,,,yard,1,0,1,0
28,cifol-56 da8blh1 (e)           ,"#5 coil, open end, left insert, da8blh1 slider ",,,,cf zipper,marine blue,lake blue,caviar black,nightfall blue,royal red,,,,scott usa,m defined merino jkt,ykk,,1,,0,0,1,1,0
