,0,1,2,3,4,5,6,7,8,9
0,airblaster,none,none,none,none,style number: ab17mj1_102,none,none,none,none
1,none,none,none,none,none,designer:   jg,none,none,none,none
2,none,none,none,none,none,season: winter 2016/17,none,none,none,none
3,none,none,insulation:,none,none,collection: s.layer,none,none,none,none
4,style name:,none,seams:,none,none,vendor: soluna,none,none,none,none
5,rainbreaker,none,mm rating:,none,none,none,none,none,none,none
7,none,none,highlighted = changes,none,none,none,none,none,none,none
8,none,updated:  9.10.15,none,none,none,color #1,color #2,color #3,color #4,color #5
9,none,material/trim,description,location,qty,black wax,camel wax,soviet grey wax,willow,dirks critterflage
10,none,none,none,none,fabrics & linings,none,none,none,none,none
11,a,shell fabric,sotp069-q03-ah 100% polyester tpu with wax coating (supplied by solis),"main body, sleeves. hood",none,black wax,camel wax,soviet grey wax,n/a,n/a
12,b,shell fabric,sotp069-2l32-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,n/a,n/a,n/a,willow,n/a
13,c,shell fabric,sotp069-pr03-ae 100% polyester 80/20dwr tpu membrane (supplied by solis),"main body, sleeves. hood",none,n/a,n/a,n/a,n/a,dirks critterflage
14,d,lining,emb07 taffeta emboss (supplied by ecoya),"inside lining, pocket bag",none,black,black,black,black,old gold
15,e,pellon,heavyweight interfacing (item# tbd),hood brim,none,white,white,white,white,white
17,none,none,none,none,zippers,none,none,none,none,none
18,aa,zipper,"ykk no.5 coil zipper.  auto-lock slider da8lh,   (right hand pull left hand insert)",cf,1,black,camel 858,grey 014,willow 509,green 567
19,bb,zipper pull,abzp_01 utility cord zipper pullers with tied end  (supplied by wei rong),cf,1,black,black,black,black,old gold
21,none,none,none,none,trims,none,none,none,none,none
22,cc,stoppers,barrel stopper k-018,2) hood,2,black,old gold,black,black,old gold
23,dd,hardware,"metal eyelets, 12mm (incl. washers)",(2) at hood opening,2,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass
24,ee,hardware,"snap buttons absnp_01 (sets), 17mm (incl. washers)"," (6)c.f., (2) cuffs, (2) pockets",10,bi-08 dull dark pewter,bi-17 mid dark anti brass,bi-08 dull dark pewter,bi-08 dull dark pewter,bi-17 mid dark anti brass
25,ff,drawcord,flat shoelace drawcord with black oxidize finish metal ends  w: 1 cm ,hood,1,black,old gold,black,black,old gold
26,gg,main label,abwv_84 s.layer main label,"inside c.b. neck, see q/a for placement",1,cream/black,cream/black,cream/black,cream/black,cream/black
27,hh,size label,abwv_69 inside joke label,sewn in and centered below main label,1,black/cream,black/cream,black/cream,black/cream,black/cream
28,ii,w/c label,satin label with print,"wearer's left side seam, 10 cm up from bottom edge",1,black,black,black,black,black
29,jj,abwvlp_01 woven loop,abwvlp_01 (supplied by sml),inside center back neck seam,1,black/cream,black/cream,black/cream,black/cream,black/cream
30,kk,branding,abpa_82 leather terry patch,"left back side seam, see placement page for detail",1,black/white,black/white,black/white,black/white,black/white
32,none,none,none,none,hangtags/packaging,none,none,none,none,none
33,ll,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
34,mm,hangtag,tbd,tbd,1,tbd,tbd,tbd,tbd,tbd
35,nn,polybag w/ warning matter,airpill logo print:  16 cm,centered on poly bag,1,clear,clear,clear,clear,clear
36,oo,country of origin sticker (supplied by your side),made in china sticker,centered above upc sticker,1,tbd,tbd,tbd,tbd,tbd
37,pp,upc sticker (supplied by your side),sticker width 3.5 cm,lookers right bottom corner,1,tbd,tbd,tbd,tbd,tbd
39,special instructions:,none,none,none,none,none,none,none,none,none
40,1,stitching:,"top stitch 1/16"", serge all linings, single needle",none,none,none,none,none,none,none
41,2,stitches per inch:,8-10,none,none,none,none,none,none,none
42,3,zipper direction:,"cf has right hand slider, pocket zippers close down, vents zips close down",none,none,none,none,none,none,none
43,4,bartack:,at stress points,none,none,none,none,none,none,none
44,5,heat cut:,"elastic, webbing, taffeta",none,none,none,none,none,none,none
45,6,grommets/snaps:,should have pellon backing,none,none,none,none,none,none,none
46,7,thread color:,"matches fabric color, unless noted above",none,none,none,none,none,none,none
